万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000009.SZ,000009,20260918,91500330,78205,C,0, ,0,100,0,78203,
000009.SZ,000009,20260918,91619780,203538,C,0, ,0,20100,199641,0,
000009.SZ,000009,20260918,91644350,208658,C,0, ,0,100,0,193947,
000009.SZ,000009,20260918,91651600,210141,C,0, ,0,100,0,203751,
000009.SZ,000009,20260918,91743040,222061,C,0, ,0,800,0,67935,
000009.SZ,000009,20260918,91859180,242670,C,0, ,0,50000,0,224480,
000009.SZ,000009,20260918,92500000,399639,0,0,S,69500,600,323409,204836,
000009.SZ,000009,20260918,92500000,399640,0,0,S,69500,600,394469,204836,
000009.SZ,000009,20260918,92500000,399641,0,0,B,69500,5100,85411,204836,
000009.SZ,000009,20260918,92500000,399642,0,0,B,69500,2100,85411,361683,
000009.SZ,000009,20260918,92500000,399643,0,0,B,69500,2300,85411,362602,
000009.SZ,000009,20260918,92500000,399644,0,0,B,69500,4200,204037,362602,
000009.SZ,000009,20260918,92500000,399645,0,0,B,69500,300,204037,362991,
000009.SZ,000009,20260918,92500000,399646,0,0,S,69500,2000,378604,362991,
000009.SZ,000009,20260918,92500000,399647,0,0,B,69500,300,378604,387184,
000009.SZ,000009,20260918,92500000,399648,0,0,B,69500,500,272926,387184,
000009.SZ,000009,20260918,92500000,399649,0,0,B,69500,1200,272926,387976,
000009.SZ,000009,20260918,92500000,399650,0,0,B,69500,600,342845,387976,
000009.SZ,000009,20260918,92500000,399651,0,0,B,69500,800,342845,388295,
000009.SZ,000009,20260918,92500000,399652,0,0,B,69500,500,342845,393178,
000009.SZ,000009,20260918,92500000,399653,0,0,B,69500,500,342845,393724,
000009.SZ,000009,20260918,92500000,399654,0,0,B,69500,100,342845,392843,
000009.SZ,000009,20260918,92500000,399655,0,0,B,69500,1300,342845,394954,
000009.SZ,000009,20260918,92500000,399656,0,0,S,69500,200,342845,341447,
000009.SZ,000009,20260918,92500000,399657,0,0,B,69500,4100,342845,391373,
000009.SZ,000009,20260918,92500000,399658,0,0,B,69500,1400,342845,394756,
000009.SZ,000009,20260918,92500000,399659,0,0,B,69500,2200,342845,392812,
000009.SZ,000009,20260918,92500000,399660,0,0,B,69500,8900,342845,391914,
000009.SZ,000009,20260918,92500000,399661,0,0,B,69500,500,217779,391914,
000009.SZ,000009,20260918,92500000,399662,0,0,B,69500,1700,272013,391914,
000009.SZ,000009,20260918,92500000,399663,0,0,B,69500,100,273109,391914,
000009.SZ,000009,20260918,92500000,399664,0,0,B,69500,3700,305262,391953,
000009.SZ,000009,20260918,92500000,399665,0,0,B,69500,2200,305262,392516,
000009.SZ,000009,20260918,92500000,399666,0,0,B,69500,1000,305262,392766,
000009.SZ,000009,20260918,92500000,399667,0,0,B,69500,400,305794,392766,
000009.SZ,000009,20260918,92500000,399668,0,0,B,69500,100,80392,392766,
000009.SZ,000009,20260918,92500000,399669,0,0,B,69500,600,198112,392766,
000009.SZ,000009,20260918,92500000,399670,0,0,B,69500,100,50442,392766,
000009.SZ,000009,20260918,92500000,399671,0,0,B,69500,2400,50442,393453,
000009.SZ,000009,20260918,92500000,399672,0,0,B,69500,200,50442,368945,
