万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
000009.SZ,000009,20260918,91500020,0,909,0,S,75900,100,
000009.SZ,000009,20260918,91500020,0,1175,0,S,70600,900,
000009.SZ,000009,20260918,91500020,0,2816,0,S,70700,1700,
000009.SZ,000009,20260918,91500030,0,4394,0,S,73700,5000,
000009.SZ,000009,20260918,91500030,0,4439,0,B,67800,3300,
000009.SZ,000009,20260918,91500030,0,6701,0,S,75900,100,
000009.SZ,000009,20260918,91500030,0,6717,0,S,75800,6000,
000009.SZ,000009,20260918,91500030,0,7131,0,S,75900,1000,
000009.SZ,000009,20260918,91500030,0,7293,0,B,63700,4000,
000009.SZ,000009,20260918,91500030,0,7399,0,S,75900,1800,
000009.SZ,000009,20260918,91500030,0,7764,0,S,75800,400,
000009.SZ,000009,20260918,91500030,0,7975,0,S,74900,2000,
000009.SZ,000009,20260918,91500040,0,11742,0,S,72500,1500,
000009.SZ,000009,20260918,91500040,0,12723,0,S,71400,2600,
000009.SZ,000009,20260918,91500040,0,13517,0,S,69700,10000,
000009.SZ,000009,20260918,91500040,0,13590,0,B,64800,1000,
000009.SZ,000009,20260918,91500040,0,13653,0,S,75900,500,
000009.SZ,000009,20260918,91500040,0,13859,0,S,71800,1000,
000009.SZ,000009,20260918,91500040,0,14179,0,B,66000,800,
000009.SZ,000009,20260918,91500040,0,14216,0,B,68000,2000,
000009.SZ,000009,20260918,91500060,0,19788,0,S,75800,4000,
000009.SZ,000009,20260918,91500070,0,23634,0,S,71800,9600,
000009.SZ,000009,20260918,91500070,0,23952,0,S,75900,400,
000009.SZ,000009,20260918,91500070,0,24247,0,B,68000,1000,
000009.SZ,000009,20260918,91500070,0,25605,0,S,75900,300,
000009.SZ,000009,20260918,91500080,0,25936,0,S,70800,5900,
000009.SZ,000009,20260918,91500080,0,27085,0,S,72300,1000,
000009.SZ,000009,20260918,91500080,0,28870,0,B,66000,5000,
000009.SZ,000009,20260918,91500090,0,29194,0,S,75900,1300,
000009.SZ,000009,20260918,91500090,0,29934,0,S,70000,20000,
000009.SZ,000009,20260918,91500090,0,30816,0,B,68100,1200,
000009.SZ,000009,20260918,91500100,0,34571,0,S,72000,2000,
000009.SZ,000009,20260918,91500100,0,35079,0,B,66600,200,
000009.SZ,000009,20260918,91500100,0,36063,0,B,62800,2000,
000009.SZ,000009,20260918,91500100,0,36145,0,S,75900,700,
000009.SZ,000009,20260918,91500100,0,37008,0,S,75000,300,
000009.SZ,000009,20260918,91500100,0,37009,0,S,75900,300,
000009.SZ,000009,20260918,91500100,0,37026,0,S,70900,900,
000009.SZ,000009,20260918,91500110,0,37318,0,S,75900,600,
000009.SZ,000009,20260918,91500110,0,37482,0,B,67800,300,
000009.SZ,000009,20260918,91500110,0,38436,0,S,71000,1400,
000009.SZ,000009,20260918,91500110,0,39177,0,S,75800,100,
000009.SZ,000009,20260918,91500110,0,39335,0,B,68000,500,
000009.SZ,000009,20260918,91500110,0,39525,0,B,68400,1000,
000009.SZ,000009,20260918,91500120,0,40100,0,S,73000,500,
000009.SZ,000009,20260918,91500120,0,40285,0,S,70200,2000,
000009.SZ,000009,20260918,91500120,0,40439,0,S,75900,600,
000009.SZ,000009,20260918,91500120,0,40906,0,S,71500,200,
000009.SZ,000009,20260918,91500120,0,41531,0,S,73500,1000,
000009.SZ,000009,20260918,91500120,0,41536,0,S,75900,1000,
000009.SZ,000009,20260918,91500120,0,42540,0,S,75900,300,
000009.SZ,000009,20260918,91500120,0,43292,0,B,65600,500,
000009.SZ,000009,20260918,91500130,0,44268,0,S,73500,200,
000009.SZ,000009,20260918,91500130,0,45505,0,B,62200,500,
000009.SZ,000009,20260918,91500130,0,46569,0,S,75900,600,
000009.SZ,000009,20260918,91500130,0,46846,0,S,75900,10000,
000009.SZ,000009,20260918,91500150,0,49074,0,S,75500,500,
000009.SZ,000009,20260918,91500150,0,49462,0,S,75500,4300,
000009.SZ,000009,20260918,91500150,0,49511,0,S,75500,500,
000009.SZ,000009,20260918,91500150,0,49633,0,B,68500,100,
000009.SZ,000009,20260918,91500150,0,49802,0,S,71400,8000,
000009.SZ,000009,20260918,91500150,0,50214,0,B,68100,200,
000009.SZ,000009,20260918,91500150,0,50285,0,S,70900,2000,
000009.SZ,000009,20260918,91500150,0,50442,0,S,69200,40000,
000009.SZ,000009,20260918,91500150,0,51037,0,S,75900,9800,
000009.SZ,000009,20260918,91500160,0,51384,0,S,75900,400,
000009.SZ,000009,20260918,91500160,0,51797,0,S,74000,1000,
000009.SZ,000009,20260918,91500160,0,52028,0,B,65000,1000,
000009.SZ,000009,20260918,91500160,0,52048,0,S,71100,700,
000009.SZ,000009,20260918,91500160,0,52438,0,S,75900,7900,
000009.SZ,000009,20260918,91500170,0,54611,0,S,73500,700,
000009.SZ,000009,20260918,91500170,0,54992,0,B,67500,300,
000009.SZ,000009,20260918,91500170,0,55338,0,B,67600,1600,
000009.SZ,000009,20260918,91500180,0,57136,0,S,75000,6000,
000009.SZ,000009,20260918,91500180,0,57372,0,S,69800,1300,
000009.SZ,000009,20260918,91500190,0,58163,0,S,75400,300,
000009.SZ,000009,20260918,91500200,0,59370,0,S,75900,300,
000009.SZ,000009,20260918,91500200,0,60067,0,S,75000,500,
000009.SZ,000009,20260918,91500200,0,60373,0,B,62100,3000,
000009.SZ,000009,20260918,91500200,0,60376,0,S,75900,1000,
000009.SZ,000009,20260918,91500200,0,60500,0,B,66000,800,
000009.SZ,000009,20260918,91500200,0,60750,0,B,67700,500,
000009.SZ,000009,20260918,91500210,0,61521,0,S,72000,400,
000009.SZ,000009,20260918,91500210,0,61708,0,B,68500,4300,
000009.SZ,000009,20260918,91500240,0,65862,0,B,65000,1000,
000009.SZ,000009,20260918,91500240,0,67273,0,S,75000,500,
000009.SZ,000009,20260918,91500240,0,67274,0,B,62500,100,
000009.SZ,000009,20260918,91500250,0,67935,0,B,68500,800,
000009.SZ,000009,20260918,91500250,0,68639,0,B,68100,100,
000009.SZ,000009,20260918,91500260,0,69832,0,S,70900,200,
000009.SZ,000009,20260918,91500280,0,72282,0,S,70000,1500,
000009.SZ,000009,20260918,91500280,0,72525,0,S,72800,1000,
000009.SZ,000009,20260918,91500290,0,74272,0,S,72000,8300,
000009.SZ,000009,20260918,91500290,0,74472,0,S,70700,500,
000009.SZ,000009,20260918,91500290,0,74487,0,S,73300,600,
000009.SZ,000009,20260918,91500290,0,74500,0,B,66600,500,
000009.SZ,000009,20260918,91500290,0,74563,0,S,75800,1000,
000009.SZ,000009,20260918,91500290,0,74596,0,S,75900,10000,
000009.SZ,000009,20260918,91500300,0,74824,0,S,75900,200,
000009.SZ,000009,20260918,91500300,0,75413,0,S,75000,10000,
