万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
000039.SZ,000039,20260918,91500020,0,637,0,B,91500,100,
000039.SZ,000039,20260918,91500020,0,803,0,S,100000,100,
000039.SZ,000039,20260918,91500020,0,1664,0,S,100400,6300,
000039.SZ,000039,20260918,91500020,0,1763,0,S,100400,14000,
000039.SZ,000039,20260918,91500020,0,2270,0,S,96300,1000,
000039.SZ,000039,20260918,91500020,0,2391,0,S,100300,600,
000039.SZ,000039,20260918,91500020,0,2393,0,S,98800,600,
000039.SZ,000039,20260918,91500020,0,3510,0,S,100000,200,
000039.SZ,000039,20260918,91500020,0,3640,0,S,99300,1000,
000039.SZ,000039,20260918,91500020,0,3927,0,S,92900,800,
000039.SZ,000039,20260918,91500020,0,3969,0,B,87600,400,
000039.SZ,000039,20260918,91500020,0,3970,0,B,86000,400,
000039.SZ,000039,20260918,91500020,0,4107,0,S,95500,4000,
000039.SZ,000039,20260918,91500020,0,4183,0,B,82300,400,
000039.SZ,000039,20260918,91500020,0,4617,0,S,100400,100,
000039.SZ,000039,20260918,91500020,0,4696,0,S,100400,200,
000039.SZ,000039,20260918,91500030,0,5833,0,S,100000,1000,
000039.SZ,000039,20260918,91500030,0,5985,0,S,97200,400,
000039.SZ,000039,20260918,91500030,0,7114,0,S,96600,400,
000039.SZ,000039,20260918,91500030,0,7510,0,B,90000,6200,
000039.SZ,000039,20260918,91500030,0,7703,0,S,95500,4000,
000039.SZ,000039,20260918,91500030,0,8827,0,S,91300,1500,
000039.SZ,000039,20260918,91500030,0,8916,0,S,95000,2300,
000039.SZ,000039,20260918,91500030,0,9113,0,S,100400,200,
000039.SZ,000039,20260918,91500030,0,9115,0,S,99000,100,
000039.SZ,000039,20260918,91500030,0,9116,0,B,88500,100,
000039.SZ,000039,20260918,91500030,0,9200,0,B,83500,200,
000039.SZ,000039,20260918,91500040,0,12026,0,S,96200,500,
000039.SZ,000039,20260918,91500040,0,12027,0,S,99600,2000,
000039.SZ,000039,20260918,91500040,0,13009,0,B,87800,900,
000039.SZ,000039,20260918,91500040,0,14020,0,S,96800,1100,
000039.SZ,000039,20260918,91500040,0,14481,0,S,99600,3800,
000039.SZ,000039,20260918,91500050,0,18168,0,S,100400,23700,
000039.SZ,000039,20260918,91500050,0,18169,0,S,99900,11800,
000039.SZ,000039,20260918,91500050,0,18258,0,S,99300,5900,
000039.SZ,000039,20260918,91500050,0,18268,0,S,92000,5000,
000039.SZ,000039,20260918,91500050,0,18342,0,S,92900,5000,
