万得代码,交易所代码,自然日,时间,成交编号,成交代码,委托代码,BS标志,成交价格,成交数量,叫卖序号,叫买序号,
000001.SZ,000001,20260918,91500020,691,C,0, ,0,100,0,144,
000001.SZ,000001,20260918,91500020,1337,C,0, ,0,100,0,1335,
000001.SZ,000001,20260918,91500020,1339,C,0, ,0,100,0,1338,
000001.SZ,000001,20260918,91500020,1341,C,0, ,0,100,0,1340,
000001.SZ,000001,20260918,91500020,1467,C,0, ,0,100,0,1342,
000001.SZ,000001,20260918,91500020,1950,C,0, ,0,100,0,1946,
000001.SZ,000001,20260918,91500020,4640,C,0, ,0,100,0,71,
000001.SZ,000001,20260918,91500300,75259,C,0, ,0,200,0,75258,
000001.SZ,000001,20260918,91500580,102795,C,0, ,0,200,0,102794,
000001.SZ,000001,20260918,91500660,109898,C,0, ,0,200,0,109897,
000001.SZ,000001,20260918,91500690,111707,C,0, ,0,100,0,110305,
000001.SZ,000001,20260918,91500850,121913,C,0, ,0,1700,0,121833,
000001.SZ,000001,20260918,91500910,125425,C,0, ,0,100,0,37472,
000001.SZ,000001,20260918,91501100,135905,C,0, ,0,100,0,135159,
000001.SZ,000001,20260918,91501230,140958,C,0, ,0,900,0,26891,
000001.SZ,000001,20260918,91501290,143276,C,0, ,0,100,0,143275,
000001.SZ,000001,20260918,91501380,146280,C,0, ,0,200,0,146279,
000001.SZ,000001,20260918,91501600,155425,C,0, ,0,100,0,155424,
000001.SZ,000001,20260918,91501960,165205,C,0, ,0,1000,0,165204,
000001.SZ,000001,20260918,91501990,166204,C,0, ,0,100,0,166127,
000001.SZ,000001,20260918,91502020,167276,C,0, ,0,100,0,131231,
000001.SZ,000001,20260918,91502220,171973,C,0, ,0,100,0,171546,
000001.SZ,000001,20260918,91502330,173528,C,0, ,0,100,0,18840,
000001.SZ,000001,20260918,91502590,176655,C,0, ,0,100,0,155148,
000001.SZ,000001,20260918,91502590,176656,C,0, ,0,100,0,155149,
000001.SZ,000001,20260918,91502590,176657,C,0, ,0,100,0,155153,
000001.SZ,000001,20260918,91502820,178942,C,0, ,0,100,0,178700,
000001.SZ,000001,20260918,91502840,179128,C,0, ,0,500,179127,0,
000001.SZ,000001,20260918,91502930,179668,C,0, ,0,100,0,164547,
000001.SZ,000001,20260918,91502930,179669,C,0, ,0,100,0,164548,
000001.SZ,000001,20260918,91502930,179670,C,0, ,0,100,0,164545,
000001.SZ,000001,20260918,91502930,179672,C,0, ,0,100,0,164553,
000001.SZ,000001,20260918,91503420,182819,C,0, ,0,100,0,182698,
000001.SZ,000001,20260918,91503690,184008,C,0, ,0,100,0,184007,
000001.SZ,000001,20260918,91504030,185543,C,0, ,0,100,0,185494,
000001.SZ,000001,20260918,91504480,186323,C,0, ,0,100,0,186280,
000001.SZ,000001,20260918,91505180,188203,C,0, ,0,100,0,188163,
000001.SZ,000001,20260918,91505330,188434,C,0, ,0,100,0,188369,
000001.SZ,000001,20260918,91505410,188447,C,0, ,0,100,0,188423,
000001.SZ,000001,20260918,91505450,188451,C,0, ,0,100,0,188368,
000001.SZ,000001,20260918,91505500,188506,C,0, ,0,100,0,188429,
000001.SZ,000001,20260918,91505970,189571,C,0, ,0,100,0,189567,
000001.SZ,000001,20260918,91506580,190064,C,0, ,0,100,0,188769,
000001.SZ,000001,20260918,91506580,190065,C,0, ,0,100,0,188756,
000001.SZ,000001,20260918,91506710,190225,C,0, ,0,100,0,190151,
000001.SZ,000001,20260918,91506710,190231,C,0, ,0,100,0,190230,
000001.SZ,000001,20260918,91506710,190233,C,0, ,0,100,0,190232,
000001.SZ,000001,20260918,91506980,190518,C,0, ,0,100,0,10310,
000001.SZ,000001,20260918,91507090,190552,C,0, ,0,100,0,190546,
000001.SZ,000001,20260918,91507680,190712,C,0, ,0,100,0,190708,
