pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score
387,002489.SZ,浙江永强,0.15757575757575742,17.599999999999994,1.3294317314461046,0.9650608090658961,0.7650547374664874,4.5147778945495896,1913042953.0,2.75,3.04,2.74,3.04,83351955.0,244852944.0,2.76,10.144927536231885,10.0,3.04,True,False,True,80.40317891064159,91.15384615384616
428,000561.SZ,烽火电子,0.1267427122940431,21.68674698795181,1.2939974294859558,1.0247854884813983,0.7965663774414331,3.613768536238737,776247360.0,7.68,8.4,7.62,7.95,28747060.0,230797646.0,7.64,4.057591623036649,10.0,8.4,True,False,True,79.70730761775538,52.307692307692314
568,000055.SZ,方大集团,0.2125000000000001,17.252396166134186,1.132219967747868,1.2594717049638464,0.7970443834075684,2.717772229685566,675854429.0,3.51,3.82,3.49,3.82,23134208.0,85135468.0,3.47,10.086455331412104,10.0,3.82,True,False,True,77.41810428377593,59.23076923076923
1143,002961.SZ,瑞达期货,0.08368794326241132,21.085011185682333,1.9605140272141095,1.7603658136146596,1.159848369464047,2.2407775330172166,476931183.0,19.12,20.97,19.09,20.97,18812971.0,387631351.0,19.06,10.020986358866747,10.0,20.97,True,False,True,66.9354526070944,43.846153846153854
1291,000753.SZ,漳州发展,0.11048158640226632,25.82938388625593,1.6052343212071754,2.3948769164146704,1.1744695250901493,2.3650616210075865,991481071.0,5.0,5.5,4.99,5.5,56157800.0,298219013.0,5.0,10.000000000000009,10.0,5.5,True,False,True,63.808877689474706,34.61538461538461
1353,001216.SZ,华瓷股份,0.3132313231323133,36.91119691119693,1.6537888291176581,0.9186412321962484,0.6802438395870188,1.8434156218078004,246836199.00000003,18.07,18.07,18.07,18.07,4180017.0,75532907.0,16.43,9.981740718198417,10.0,18.07,True,False,True,62.07016863733281,32.69230769230769
1477,002093.SZ,国脉科技,0.18337408312958436,29.666666666666664,1.720235739057085,1.738623473945404,1.4041162867128383,3.880165886917242,1007500000.0,7.42,8.25,7.39,7.78,67967436.0,529769954.0,7.5,3.733333333333344,10.0,8.25,True,False,True,58.309749951541015,52.69230769230769
1493,301300.SZ,远翔新材,0.22206252245777938,35.44009305932532,1.7593308953132454,1.7953499807535567,0.8391994138405408,4.790021791694211,39074763.0,32.75,38.36,32.65,36.36,3360338.0,122111686.0,31.97,13.731623396934634,20.0,38.36,True,False,True,57.53246753246752,91.92307692307692
1511,001209.SZ,洪兴股份,0.16091395235780265,35.42695836273819,1.7023724556714221,2.221584752673439,1.0048329559289735,2.0249906604147405,96126596.0,17.48,19.23,17.2,19.23,4324436.0,80848625.0,17.48,10.011441647597263,10.0,19.23,True,False,True,56.81721263810816,30.384615384615387
1592,002846.SZ,英联股份,0.20507246376811597,37.44292237442921,1.8228074255145963,2.187404422450038,0.9581197689810825,4.0656638907927345,271391801.0,12.73,12.75,12.37,12.75,24115735.0,305941905.0,11.59,10.008628127696294,10.0,12.75,True,False,True,53.07811591393682,61.92307692307693
1625,002095.SZ,生 意 宝,0.26373626373626363,30.89887640449436,1.905663795553553,2.1569759397992274,1.9216004636511645,3.228126727694843,251708415.0,15.03,16.35,14.72,16.35,17526436.0,274567652.0,14.86,10.026917900403776,10.0,16.35,True,False,True,49.44756735801512,55.00000000000001
1644,603230.SH,内蒙新华,0.3260000000000002,30.117647058823536,2.109012687396584,1.939120806849904,3.3499013145035184,1.7002035399777256,353523000.0,10.09,11.14,10.01,11.14,11655300.0,127062155.0,10.13,9.970384995064151,10.0,11.14,True,False,True,46.46443109129677,16.923076923076923
1645,600616.SH,金枫酒业,0.34801762114537466,33.69863013698631,1.9468330642114,1.9051646553586736,1.6863539138132244,4.340121061813435,669004950.0,4.4,4.88,4.35,4.88,55317646.0,266433465.0,4.44,9.909909909909898,10.0,4.88,True,False,True,46.417910447761194,62.3076923076923
