rank,pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score,launch_detected,launch_type,t_start,t_detect,data_quality_valid,data_quality_reason,negative_remaining_cnt,negative_remaining_qty,orphan_cancel_cnt,orphan_cancel_qty,unknown_link_ratio_pct,pre_cutoff_sell_qty,fixed_1320_gross_sell_qty,fixed_1320_gross_sell_float_ratio_pct,active_sell_qty_at_cutoff,persistent_sell_orders,persistent_sell_qty,persistent_sell_share_pct,sell_lifetime_mean_seconds,sell_lifetime_median_seconds,above_market_sell_share_pct,above_market_sell_distance_bps,sell_wall_refill_ratio_pct,large_sell_cancel_ratio_pct,sell_cancel_ratio_pct,sell_fill_ratio_pct,cancel_to_trade_qty_ratio_pct,gross_sell_float_ratio_pct,active_sell_float_ratio_pct,persistent_sell_float_ratio_pct,max_aggressive_buy_3m,max_aggressive_buy_3m_float_pct,max_aggressive_buy_3m_volume_pct,max_aggressive_buy_3m_prelaunch_sell_pct,launch_buy_qty,launch_absorption_ratio_pct,churn_proxy_pct,delta_qty,delta_ratio_pct,price_change_from_first_trade_pct,bullish_cvd_divergence,large_order_threshold_qty,large_order_net_flow_pct,buy_imbalance_price_levels,stacked_buy_imbalance_levels,bullish_absorption_ratio_pct,buy_refill_float_ratio_pct,sell_refill_float_ratio_pct,median_order_book_imbalance_pct,aggressive_buy_3m_event_volume_pct,meets_10pct_gross_sell_proxy,forward_3d_pct,forward_1w_pct,forward_2w_pct,forward_3w_pct,lv2_score,lv2_model_score,lv2_score_used,score,signal_quality
1,1277,002362.SZ,汉王科技,0.1624629080118694,27.478134110787146,1.6075146445766442,2.009527209242048,1.1065014574863148,3.12214432682184,207672672.0,15.9,17.5,15.84,17.5,13029454.0,223167956.0,15.91,9.99371464487744,10.0,17.5,True,False,True,63.12197013767694,38.75,True,CONTINUOUS_TRIGGER,93300000,93559999,False,orphan_cancel|unknown_link_gt_1pct,0,0,233,531000,2.465951374478163,4062600,13362700,6.434500924608896,779900,0,0,0.0,245.76991497227357,145.0500000000029,37.50799980308177,410.7892052757142,9.560380052183332,36.27854997555354,22.825284300694136,57.977649780928466,18.22869937604446,1.9562516150415785,0.3755429120688542,0.0,3553100,1.7109136054261391,27.269753590595585,87.45877024565549,2805000,359.6614950634697,0.0,-3676254,-28.214950526706644,10.062893081761004,False,3400,4.5412493877333615,25,3,3.7328558598055226,30.09856780770847,5.593299247384846,100.0,27.269753590595585,False,-5.428571428571427,,,,63.74999999999999,100.0,v4,71.15488656195463,watch
2,639,603266.SH,天龙股份,0.07205882352941181,29.515108924806732,1.45873555783152,1.1472799972848817,0.8192382709593429,4.12553682136714,198886750.0,15.23,16.73,15.13,16.73,9413600.0,154471731.0,15.21,9.993425378040754,10.0,16.73,True,False,True,75.782431646306,56.25,False,NONE,0,0,False,launch_not_detected|orphan_cancel,0,0,25,13200,0.3186878558681057,0,4814300,2.4206237972112272,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986700,0.4961114805284917,10.481643579501997,0.0,0,0.0,0.0,-2879400,-30.587660406220785,9.848982271831908,False,2300,13.000339933712926,11,3,4.044578215244448,9.484141100400102,0.6651524045719486,64.02714932126696,10.481643579501997,False,2.3909145248057317,,,,51.24999999999999,68.75,v4,69.4145942408377,invalid
3,1141,601218.SH,吉鑫科技,0.19721577726218098,27.720207253886,1.346797719543943,2.457762595933829,0.7678514730049507,3.285873787090983,969033512.0,4.68,5.18,4.57,5.18,78258155.0,391875999.0,4.71,9.97876857749469,10.0,5.18,True,False,True,66.13535000969556,35.0,True,CONTINUOUS_TRIGGER,100800000,101059999,False,orphan_cancel,0,0,50,339800,0.6979464312696869,18878600,28118673,2.9017234854928318,5738400,76,2182700,11.56176835146674,1417.1775107438018,1655.869999999999,64.71401481042027,308.5212747211851,11.181973239541069,22.212149499156283,23.025542148252516,46.57813609059993,13.926535835147149,1.9481885575903592,0.5921776624790247,0.22524504807837853,12596473,1.2999006581312122,16.096051587211583,66.72355471274352,3618000,63.048933500627356,0.0,-32727009,-41.81929538205954,10.68376068376069,False,10000,-1.9168609328957475,4,2,16.56050172615864,29.388614890338282,1.1784215776430238,100.0,16.096051587211583,False,7.14285714285714,,,,68.125,87.5,v4,67.385907504363,watch
4,1215,603000.SH,人民网,0.1484184914841849,28.23779193205944,1.775049339497479,1.5815150538759477,1.0033117312485338,4.2836448482288265,1105691056.0,17.18,18.23,16.92,17.23,74906686.0,1321013575.0,16.57,3.9831019915509858,10.0,18.23,True,False,True,64.7799108008532,47.5,True,CONTINUOUS_TRIGGER,94100000,94359999,False,orphan_cancel|unknown_link_gt_1pct,0,0,105,179200,1.7234776612597706,19928404,52740894,4.769948505398782,6896603,0,0,0.0,503.84696497191845,447.6100000000006,80.16900400052106,247.07575319735218,31.3316761342253,27.816083809541258,24.44751722215186,40.945581994423634,14.993720320239504,1.8023483044254633,0.6237368894842539,0.0,12492603,1.1298457134304611,16.677553990307352,62.68742343842487,9138000,132.5000148623895,0.0,-2853004,-3.808744121986654,0.29103608847498297,False,2700,10.40403923356054,5,1,12.766254597980007,14.321042133852623,2.668772695580166,50.433364396343016,16.677553990307352,False,0.6964596633778353,,,,67.1875,68.75,v4,62.71345986038394,watch
5,956,600163.SH,中闽能源,0.26150121065375304,25.0,1.5896745628585514,1.24816400639441,0.6427174590825425,8.207176513100642,1902996143.0,5.6,6.29,5.51,6.29,194941066.0,1179112060.0,5.72,9.965034965034981,10.0,6.29,True,False,True,70.01163467132054,67.5,True,CONTINUOUS_TRIGGER,101400000,101659999,False,orphan_cancel|unknown_link_gt_1pct,0,0,137,1595200,1.6028131291741268,33628560,97131380,5.104129104900661,6810934,110,2587100,7.693163192238978,1855.3611021036427,1984.6600000000035,59.925920110762995,226.0192217935189,22.479490647235565,37.23379786992975,35.260433393520266,44.48614510998984,13.40381764404633,1.7671375805831047,0.35790582261836984,0.13594877790564183,10986003,0.5773003292944666,5.635550900291066,32.668669131238445,6943568,101.94736874560817,0.0,-33993700,-17.437936858311833,12.321428571428573,False,9300,9.151481709861994,4,1,14.510654096110507,22.194740412566354,2.9287969502731674,62.44168423213498,5.635550900291066,False,-1.748807631160576,,,,59.68750000000001,50.0,v4,62.505235602094245,watch
6,728,002232.SZ,启明信息,0.22130394857667582,19.11421911421911,1.5490479611936312,0.933212255079995,0.872115892361646,2.499687715095449,408548455.00000006,16.81,16.81,16.76,16.81,9530370.0,160198942.0,15.28,10.01308900523561,10.0,16.81,True,False,True,74.0643785146403,43.75,False,NONE,0,0,False,launch_not_detected|orphan_cancel,0,0,187,294100,0.8121405569773261,0,9119070,2.2320657166602182,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1229000,0.3008211106807392,12.895616854329894,0.0,0,0.0,65.87793707377354,-6339570,-66.51966293019053,0.0,False,3200,7.736320835392539,0,0,0.010081953680984301,6.795179289076003,1.536921734289755,100.0,12.895616854329894,False,-7.911957168352157,,,,37.1875,37.5,v4,55.20397033158813,invalid
7,617,605507.SH,国邦医药,0.2746913580246915,17.782426778242687,1.2316821878944322,0.5689820092697254,0.9985816338662605,6.160978769320472,782352899.9999999,16.25,17.73,16.25,17.73,27425272.0,473697090.0,16.12,9.987593052109167,10.0,17.73,True,False,True,76.26720961799496,73.75,True,CONTINUOUS_TRIGGER,130000000,130259999,False,orphan_cancel|unknown_link_gt_1pct,0,0,93,180060,2.2769509815618236,14498414,16516734,2.1111615998355733,1414980,24,550420,3.796415249281749,9677.246985128437,10013.089999999997,57.6364490626354,117.07516815492802,13.255732661517323,22.07726894004789,23.275387225113036,66.96506252339049,43.8078790977898,1.853180834377939,0.18086211478221662,0.07035443979309082,1749780,0.22365610199693775,6.380173731731813,12.06876834942084,1264120,89.33836520657536,0.9286962130795113,-1772368,-6.4625357225262885,9.107692307692306,False,3000,0.21841168977284894,15,3,2.3151186191760704,2.450202204145981,0.6732744264129399,-0.44166900900160244,6.380173731731813,False,2.4816694867456413,,,,48.125,12.5,v4,53.445244328097736,watch
8,1217,000868.SZ,安凯客车,0.2580645161290323,22.57053291536051,1.8358111389210698,1.132746044221999,1.0056503119816627,9.60108341165673,939513985.0,4.3,4.3,3.9,4.0,102177682.0,421644594.0,3.91,2.3017902813299296,10.0,4.3,True,False,True,64.71979833236378,72.5,False,NONE,0,0,False,launch_not_detected|orphan_cancel,0,0,64,333800,0.11807862307935309,0,115709409,12.315879363945816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9322900,0.9923109340410723,9.124203855006224,0.0,0,0.0,0.0,-25776182,-25.226822037321224,-6.976744186046513,False,5500,14.869981098220647,0,0,7.222098427601999,9.252411500825078,11.4395307271557,25.7710872944449,9.124203855006224,False,-0.24999999999999467,,,,49.6875,25.0,v4,52.3739092495637,invalid
