pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score
208,002011.SZ,盾安环境,0.19753086419753074,15.621788283658788,1.043029174491445,0.9842707647994337,0.8023040296282019,7.960801715187566,1061515502.0,11.0,11.94,11.0,11.94,83175943.0,976147550.0,10.85,10.046082949308754,10.0,11.94,True,False,True,84.48857032158078,86.81818181818183
362,002516.SZ,旷达科技,0.18965517241379326,27.16297786720323,1.1076387888013977,0.7779734100437845,0.7583068847053385,6.875973274193619,1460498682.0,5.45,5.95,5.43,5.88,78126812.0,454881443.0,5.41,8.687615526802217,10.0,5.95,True,False,True,80.70127857419605,66.81818181818183
535,603628.SH,清源股份,0.1334867663981588,20.80459770114944,1.4489885064972978,1.5072762382862754,0.8661018283862219,4.433758934475843,272173673.0,9.94,10.85,9.84,10.85,18189093.0,193102668.0,9.86,10.040567951318469,10.0,10.85,True,False,True,77.44091437427353,64.0909090909091
1111,603999.SH,读者传媒,0.29441624365482233,27.926078028747447,1.4585924033581015,1.217239045138884,0.9867630588218738,3.2222958636939194,576000000.0,5.98,6.63,5.98,6.63,22592473.0,144016950.0,6.03,9.950248756218905,10.0,6.63,True,False,True,65.67996900426192,43.63636363636363
1168,002564.SZ,天沃科技,0.16920473773265643,34.860050890585235,2.0593869598960324,1.3031776931813515,0.8061051071813099,3.0702978402703773,858904477.0,5.36,5.42,5.05,5.42,34366002.0,181942410.0,4.93,9.93914807302232,10.0,5.42,True,False,True,64.16505230530802,32.27272727272727
1279,002483.SZ,润邦股份,0.21661721068249248,31.645569620253156,1.4330959970980106,1.8886713255595666,1.6691938804762962,2.9142389493260494,885250799.0,5.54,6.02,5.52,6.02,48724554.0,288188835.0,5.47,10.05484460694699,10.0,6.02,True,False,True,60.54048818287486,37.27272727272727
1293,002224.SZ,三 力 士,0.3282828282828282,22.397476340694,1.6917674564048653,1.8011871020634864,1.1188838477400491,4.467648523942355,806380369.0000001,3.9,4.2,3.9,3.97,64890000.0,263609655.0,3.82,3.9267015706806463,10.0,4.2,True,False,True,60.06974041069353,48.63636363636364
1298,603355.SH,莱克电气,0.32635253054101215,38.66090712742982,1.811454581604767,0.4650375740968841,0.9434531730359962,2.312444282293309,573396882.0,27.51,30.07,27.45,30.07,6166158.0,183127697.0,27.34,9.985369422092184,10.0,30.07,True,False,True,59.87214258039519,37.27272727272728
1316,601949.SH,中国出版,0.3942028985507247,30.42505592841165,1.642534340586352,0.755040680425192,1.3629970211382705,9.012810953397379,1903968054.0,6.11,6.41,5.88,6.41,129565767.0,794651255.0,5.83,9.948542024013719,10.0,6.41,True,False,True,58.95001937233631,83.63636363636363
1340,603668.SH,天马科技,0.21326530612244896,33.943089430894304,2.0137478579787382,1.6842356545712078,0.9957400911615302,3.4699720755562433,505796732.0,12.04,13.12,11.7,13.12,29560029.0,375507858.0,11.93,9.974853310980713,10.0,13.12,True,False,True,58.05501743510268,47.27272727272727
1448,603536.SH,惠发食品,0.29346485819975326,36.945169712793735,2.0613873594777408,2.4070350895967096,1.2470590047127952,4.196479991289352,240532260.0,10.5,11.04,10.24,10.63,24296343.0,257801664.0,10.04,5.8764940239043995,10.0,11.04,True,False,True,46.87911662146455,37.27272727272727
