rank,pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score,launch_detected,launch_type,t_start,t_detect,data_quality_valid,data_quality_reason,negative_remaining_cnt,negative_remaining_qty,orphan_cancel_cnt,orphan_cancel_qty,unknown_link_ratio_pct,pre_cutoff_sell_qty,fixed_1320_gross_sell_qty,fixed_1320_gross_sell_float_ratio_pct,active_sell_qty_at_cutoff,persistent_sell_orders,persistent_sell_qty,persistent_sell_share_pct,sell_lifetime_mean_seconds,sell_lifetime_median_seconds,above_market_sell_share_pct,above_market_sell_distance_bps,sell_wall_refill_ratio_pct,large_sell_cancel_ratio_pct,sell_cancel_ratio_pct,sell_fill_ratio_pct,cancel_to_trade_qty_ratio_pct,gross_sell_float_ratio_pct,active_sell_float_ratio_pct,persistent_sell_float_ratio_pct,max_aggressive_buy_3m,max_aggressive_buy_3m_float_pct,max_aggressive_buy_3m_volume_pct,max_aggressive_buy_3m_prelaunch_sell_pct,launch_buy_qty,launch_absorption_ratio_pct,churn_proxy_pct,delta_qty,delta_ratio_pct,price_change_from_first_trade_pct,bullish_cvd_divergence,large_order_threshold_qty,large_order_net_flow_pct,buy_imbalance_price_levels,stacked_buy_imbalance_levels,bullish_absorption_ratio_pct,buy_refill_float_ratio_pct,sell_refill_float_ratio_pct,median_order_book_imbalance_pct,aggressive_buy_3m_event_volume_pct,meets_10pct_gross_sell_proxy,forward_3d_pct,forward_1w_pct,forward_2w_pct,forward_3w_pct,lv2_score,lv2_model_score,lv2_score_used,score,signal_quality
1,1592,002846.SZ,英联股份,0.20507246376811597,37.44292237442921,1.8228074255145963,2.187404422450038,0.9581197689810825,4.0656638907927345,271391801.0,12.73,12.75,12.37,12.75,24115735.0,305941905.0,11.59,10.008628127696294,10.0,12.75,True,False,True,53.07811591393682,61.92307692307693,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,26309685,9.694355136395592,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9255229,3.410283201591635,38.37838241297643,0.0,0,0.0,35.04044676926381,-4694967,-19.46847981203973,0.15710919088767206,False,4000,16.506455225188034,8,5,1.4411311463358303,25.0634321852634,7.811470325148105,100.0,38.37838241297643,False,-7.76470588235294,,,,53.46153846153846,100.0,v4,71.26976754588696,invalid
2,1493,301300.SZ,远翔新材,0.22206252245777938,35.44009305932532,1.7593308953132454,1.7953499807535567,0.8391994138405408,4.790021791694211,39074763.0,32.75,38.36,32.65,36.36,3360338.0,122111686.0,31.97,13.731623396934634,20.0,38.36,True,False,True,57.53246753246752,91.92307692307692,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,4633393,11.857763539090435,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378648,0.9690346682333045,11.268152191833083,0.0,0,0.0,0.0,181936,5.414217260287506,11.022900763358766,False,1300,19.577822230977958,53,4,4.989991826081157,15.776679182929401,6.061866581250921,-17.599999999999998,11.268152191833083,False,-7.3157315731573025,,,,50.1923076923077,76.92307692307693,v4,71.19730269730269,invalid
3,1353,001216.SZ,华瓷股份,0.3132313231323133,36.91119691119693,1.6537888291176581,0.9186412321962484,0.6802438395870188,1.8434156218078004,246836199.00000003,18.07,18.07,18.07,18.07,4180017.0,75532907.0,16.43,9.981740718198417,10.0,18.07,True,False,True,62.07016863733281,32.69230769230769,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,4172517,1.6903991460344923,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,58.93755934485434,-4180017,-100.0,0.0,False,7000,0.0,0,0,100.0,7.106210544102567,0.9980707894468914,100.0,0.0,False,33.14886552296623,,,,34.61538461538461,92.3076923076923,v4,66.77772973295362,invalid
4,428,000561.SZ,烽火电子,0.1267427122940431,21.68674698795181,1.2939974294859558,1.0247854884813983,0.7965663774414331,3.613768536238737,776247360.0,7.68,8.4,7.62,7.95,28747060.0,230797646.0,7.64,4.057591623036649,10.0,8.4,True,False,True,79.70730761775538,52.307692307692314,True,CONTINUOUS_TRIGGER,94000000,94259999,True,,0,0,0,0,0.0,2437800,41065472,5.290255930789897,815300,0,0,0.0,520.8162704081633,508.9599999999991,55.656739683321035,339.9813884129325,6.066945606694561,29.478177061820183,25.641972270079584,40.91393879727623,3.6678533387414225,0.31404937725005594,0.10503095301992396,0.0,4149000,0.5344945714211511,14.432780256485358,170.19443760767905,1132200,138.86912792836992,0.4245619330947596,890686,3.098355101356452,3.515625,False,2400,17.061831714269214,4,2,3.7513855895243218,3.665700067566091,4.154381793968356,29.87816691719045,14.432780256485358,False,1.1320754716980908,,,,45.96153846153847,53.84615384615385,v4,65.17598073568223,watch
5,1143,002961.SZ,瑞达期货,0.08368794326241132,21.085011185682333,1.9605140272141095,1.7603658136146596,1.159848369464047,2.2407775330172166,476931183.0,19.12,20.97,19.09,20.97,18812971.0,387631351.0,19.06,10.020986358866747,10.0,20.97,True,False,True,66.9354526070944,43.846153846153854,True,CONTINUOUS_TRIGGER,101300000,101559999,True,,0,0,0,0,0.0,3408765,21491348,4.506173797405065,525900,4,50000,1.4668068934056762,1609.6574896836314,1787.920000000002,50.9334025666187,184.67370026533706,7.606860549201837,32.12596296796865,28.387553850148073,56.18457124501103,8.671490537034263,0.7147289004166456,0.110267480665025,0.01048369278047395,2793298,0.5856815615262465,14.847723945356636,81.94457523472578,1040100,197.7752424415288,0.0,-6272507,-33.34139514699725,9.675732217573207,False,3000,8.09599929750596,19,3,6.551519568413247,17.377538511672448,3.8098259555404246,100.0,14.847723945356636,False,2.336671435383897,,,,52.30769230769232,65.38461538461539,v4,61.774799827038635,watch
6,1511,001209.SZ,洪兴股份,0.16091395235780265,35.42695836273819,1.7023724556714221,2.221584752673439,1.0048329559289735,2.0249906604147405,96126596.0,17.48,19.23,17.2,19.23,4324436.0,80848625.0,17.48,10.011441647597263,10.0,19.23,True,False,True,56.81721263810816,30.384615384615387,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,4319936,4.494007048788038,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597600,0.6216801851591623,13.81914312062891,0.0,0,0.0,0.0,-1834236,-42.41561211681708,10.011441647597263,False,2400,13.173972282165813,31,3,9.300706386052058,12.008851327680427,4.077681061337072,25.396825396825395,13.81914312062891,False,0.9880395215808635,,,,43.46153846153846,84.61538461538461,v4,61.260053379456366,invalid
7,568,000055.SZ,方大集团,0.2125000000000001,17.252396166134186,1.132219967747868,1.2594717049638464,0.7970443834075684,2.717772229685566,675854429.0,3.51,3.82,3.49,3.82,23134208.0,85135468.0,3.47,10.086455331412104,10.0,3.82,True,False,True,77.41810428377593,59.23076923076923,True,CONTINUOUS_TRIGGER,103500000,103759999,True,,0,0,0,0,0.0,18144900,28225601,4.176284091496277,2162500,56,1311900,7.230130780549906,2629.7391075659452,2839.239999999998,56.7371547928068,135.56830459654182,16.806375345138303,43.791998782827726,35.56536547459616,52.51668512915475,46.46625464766289,2.684734940162684,0.31996535159200684,0.19410984728488034,4003201,0.5923170476108547,17.304249188042228,22.06240320971733,2060300,95.27398843930635,0.0,-3408406,-14.733186457042317,8.83190883190883,False,7000,-32.22544294578833,3,2,11.286755705372501,10.306317013127098,3.057671461970992,100.0,17.304249188042228,False,-1.0471204188481686,,,,59.23076923076923,38.46153846153847,v4,60.14583923539148,medium
8,387,002489.SZ,浙江永强,0.15757575757575742,17.599999999999994,1.3294317314461046,0.9650608090658961,0.7650547374664874,4.5147778945495896,1913042953.0,2.75,3.04,2.74,3.04,83351955.0,244852944.0,2.76,10.144927536231885,10.0,3.04,True,False,True,80.40317891064159,91.15384615384616,True,CONTINUOUS_TRIGGER,140800000,141059999,True,,0,0,0,0,0.0,79546321,42707581,2.2324423470485453,9307083,68,2214803,2.784293443313362,5818.975787032317,2790.9400000000023,54.49152827570744,175.4201612675671,9.80686460659821,23.310976608388287,22.69436697141531,65.60542755962277,56.68148995425483,4.158104284864952,0.48650674494290874,0.11577382496962679,9969683,0.5211426635437391,11.960946806826547,12.533179252878332,9884583,106.20495164811574,23.05041075521264,10095445,12.111827491028855,10.545454545454547,False,10300,-37.79943733773251,8,3,11.707628441485951,8.794726732933947,3.054654047801717,-6.660340574495163,11.960946806826547,False,2.6315789473684292,,,,57.692307692307686,15.384615384615385,v4,59.79681512517333,watch
9,1645,600616.SH,金枫酒业,0.34801762114537466,33.69863013698631,1.9468330642114,1.9051646553586736,1.6863539138132244,4.340121061813435,669004950.0,4.4,4.88,4.35,4.88,55317646.0,266433465.0,4.44,9.909909909909898,10.0,4.88,True,False,True,46.417910447761194,62.3076923076923,True,CONTINUOUS_TRIGGER,95200000,95459999,True,,0,0,0,0,0.0,7181400,17242836,2.577385413964426,1631200,14,771700,10.745815579134987,905.1853863636366,962.2700000000004,64.10588464644776,304.4893878858872,11.476870805135489,30.2450151212261,34.54479627927702,42.740969727351214,8.12887084891501,1.0734449722681423,0.24382480279107055,0.1153504170634313,6040596,0.9029224671656016,10.91983559821038,84.11446236109951,1645000,100.84600294261894,0.0,-28921574,-52.282727287419284,10.90909090909089,False,10200,3.357731455167127,4,2,4.291825114240137,28.13508151172873,1.0914789195505952,100.0,10.91983559821038,False,4.508196721311464,,,,47.69230769230769,65.38461538461539,v4,56.23421354764638,medium
10,1477,002093.SZ,国脉科技,0.18337408312958436,29.666666666666664,1.720235739057085,1.738623473945404,1.4041162867128383,3.880165886917242,1007500000.0,7.42,8.25,7.39,7.78,67967436.0,529769954.0,7.5,3.733333333333344,10.0,8.25,True,False,True,58.309749951541015,52.69230769230769,True,CONTINUOUS_TRIGGER,95400000,95659999,True,,0,0,0,0,0.0,16456644,86369725,8.57267741935484,4412531,39,798400,4.851535951072405,1131.4130229662424,1193.800000000003,50.365943384325504,312.39135463969103,14.98343161582641,11.237460676418529,13.842998608950891,59.343934279674514,7.7748600079602825,1.6334137965260547,0.43796833746898267,0.07924565756823822,11103566,1.1020909181141438,16.336596837344285,67.471630303238,7272124,164.80618493105203,0.0,2328380,3.425728756341493,4.851752021563338,False,4100,8.658943674144188,2,1,18.591431296635346,6.7860545905707195,7.266585210918114,16.63403315882364,16.336596837344285,False,-4.241645244215942,,,,64.23076923076923,30.76923076923077,v4,47.547079785885764,watch
