pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score
617,605507.SH,国邦医药,0.2746913580246915,17.782426778242687,1.2316821878944322,0.5689820092697254,0.9985816338662605,6.160978769320472,782352899.9999999,16.25,17.73,16.25,17.73,27425272.0,473697090.0,16.12,9.987593052109167,10.0,17.73,True,False,True,76.26720961799496,73.75
639,603266.SH,天龙股份,0.07205882352941181,29.515108924806732,1.45873555783152,1.1472799972848817,0.8192382709593429,4.12553682136714,198886750.0,15.23,16.73,15.13,16.73,9413600.0,154471731.0,15.21,9.993425378040754,10.0,16.73,True,False,True,75.782431646306,56.25
728,002232.SZ,启明信息,0.22130394857667582,19.11421911421911,1.5490479611936312,0.933212255079995,0.872115892361646,2.499687715095449,408548455.00000006,16.81,16.81,16.76,16.81,9530370.0,160198942.0,15.28,10.01308900523561,10.0,16.81,True,False,True,74.0643785146403,43.75
956,600163.SH,中闽能源,0.26150121065375304,25.0,1.5896745628585514,1.24816400639441,0.6427174590825425,8.207176513100642,1902996143.0,5.6,6.29,5.51,6.29,194941066.0,1179112060.0,5.72,9.965034965034981,10.0,6.29,True,False,True,70.01163467132054,67.5
1141,601218.SH,吉鑫科技,0.19721577726218098,27.720207253886,1.346797719543943,2.457762595933829,0.7678514730049507,3.285873787090983,969033512.0,4.68,5.18,4.57,5.18,78258155.0,391875999.0,4.71,9.97876857749469,10.0,5.18,True,False,True,66.13535000969556,35.0
1215,603000.SH,人民网,0.1484184914841849,28.23779193205944,1.775049339497479,1.5815150538759477,1.0033117312485338,4.2836448482288265,1105691056.0,17.18,18.23,16.92,17.23,74906686.0,1321013575.0,16.57,3.9831019915509858,10.0,18.23,True,False,True,64.7799108008532,47.5
1217,000868.SZ,安凯客车,0.2580645161290323,22.57053291536051,1.8358111389210698,1.132746044221999,1.0056503119816627,9.60108341165673,939513985.0,4.3,4.3,3.9,4.0,102177682.0,421644594.0,3.91,2.3017902813299296,10.0,4.3,True,False,True,64.71979833236378,72.5
1277,002362.SZ,汉王科技,0.1624629080118694,27.478134110787146,1.6075146445766442,2.009527209242048,1.1065014574863148,3.12214432682184,207672672.0,15.9,17.5,15.84,17.5,13029454.0,223167956.0,15.91,9.99371464487744,10.0,17.5,True,False,True,63.12197013767694,38.75
