pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1,600029.SH,南方航空,0.011396011396011404,14.747474747474731,0.5830014173523669,0.3898208730622915,0.5250207625637145,1.3303673904033495,13476973184.0,4.98,5.05,4.97,5.03,69892251.0,350891505.0,4.99,0.8016032064128265,10.0,5.49,False,False,True,98.62483052488862
2,601669.SH,中国电建,0.03200000000000003,14.348785871964665,0.5118268808139803,0.593835716967957,0.47195238373746806,1.050177308510141,13071525850.0,4.61,4.65,4.61,4.63,81518322.0,377661508.0,4.61,0.433839479392617,10.0,5.07,False,False,True,97.87139260120085
3,601021.SH,春秋航空,0.04880883207437556,14.26244765006981,0.8455932613736671,0.41873741647687357,0.5617308197936282,1.1860926009241555,978333423.0,43.27,44.09,43.17,43.89,4859004.0,212560615.0,43.45,1.0126582278481067,10.0,47.8,False,False,True,97.49370521014914
4,600905.SH,三峡能源,0.059405940594059445,17.17451523545708,0.4154792057729061,0.2320747713451515,0.5126280189401717,0.9494997565269836,28587650142.0,3.68,3.7,3.67,3.68,62994299.0,232102514.0,3.67,0.2724795640327127,10.0,4.04,False,False,True,97.46658919233005
5,601727.SH,上海电气,0.0430327868852459,18.354430379746844,0.7415657851057894,0.3617480390750071,0.4502825546691019,1.7247118549801084,12615639635.999998,6.55,6.68,6.54,6.63,78710380.0,521712819.0,6.53,1.5313935681469992,10.0,7.18,False,False,True,96.97656401317063
6,001289.SZ,龙源电力,0.04119850187265898,21.304926764314235,0.6887519436268396,0.08532368055728048,0.4736956111214799,1.0498121811252805,5041934164.0,15.08,15.24,15.03,15.19,4516254.0,68493746.0,15.03,1.0645375914837052,10.0,16.53,False,False,True,96.00619794693009
7,688425.SH,铁建重工,0.09183673469387765,11.688311688311682,0.657364998327427,0.25556994219739354,0.7370771857242582,1.1949491472821083,5333497000.0,4.04,4.08,4.03,4.05,16288131.0,66074081.0,4.03,0.4962779156327368,20.0,4.84,False,False,True,95.70211117567305
8,601111.SH,中国国航,0.010723860589812343,17.832167832167833,0.9025692457299417,0.478341324459683,0.6547617557128094,1.5479412235918495,11638109474.0,5.75,5.9,5.74,5.86,86173713.0,502663248.0,5.76,1.736111111111116,10.0,6.34,False,False,True,95.66918458260702
9,002206.SZ,海 利 得,0.089285714285714,11.834319526627212,0.6876836371498412,0.777000916655241,0.6363566574569636,0.9333286292220832,1056970986.0,5.29,5.34,5.25,5.27,7665124.0,40706715.0,5.27,0.0,10.0,5.8,False,False,True,94.91768351733488
10,600271.SH,航天信息,0.0628272251308901,13.070866141732296,1.0406683799894394,0.6057096011176445,0.7006876079635685,1.2943036955791578,1852884638.0,6.86,7.0,6.86,6.88,14526100.0,100922770.0,6.83,0.7320644216691097,10.0,7.51,False,False,True,94.48770094906061
