score,horizon,spearman,top_count,top_mean_pct,top_positive_rate_pct,bottom_count,bottom_mean_pct,bottom_positive_rate_pct
lv2_score,3d,-0.2087912087912088,7,-6.036848559818627,14.285714285714285,6,-3.4504195275041574,16.666666666666664
lv2_score,1w,-0.2967032967032967,7,-6.915849185108491,0.0,6,-3.74915158509771,16.666666666666664
lv2_score_v2_baseline,3d,0.2849307416976231,7,-4.129096581541694,0.0,6,-5.676130168827247,33.33333333333333
lv2_score_v2_baseline,1w,0.2793981059365042,7,-5.023209290432496,0.0,6,-5.957231462219702,16.666666666666664
lv2_score_v3,3d,0.46197508605342785,7,-2.2113093540199524,14.285714285714285,6,-7.913548600935944,16.666666666666664
lv2_score_v3,1w,0.43984454300895226,7,-3.1462252175582153,14.285714285714285,6,-8.147046213906362,0.0
lv2_score_v4,3d,0.20747384104195862,7,-3.901705673829387,14.285714285714285,6,-5.941419561158271,16.666666666666664
lv2_score_v4,1w,0.15214748343076964,7,-4.496034755463952,14.285714285714285,6,-6.572268419683005,0.0
