pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score
80,003039.SZ,顺控发展,0.160737812911726,14.471243042671622,0.9939441937374884,0.5108825039201589,0.854182557840443,4.666372712028545,617518730.0,12.0,13.2,11.93,12.52,14721450.0,185659885.0,12.0,4.333333333333322,10.0,13.2,True,False,True,89.36289697908597,71.42857142857143
320,600830.SH,香溢融通,0.2500000000000003,18.68421052631579,0.9586716572891592,0.9552111530088055,0.8096305411573798,3.416765452311325,454322747.0,8.39,9.23,8.38,9.23,14827879.0,133899067.0,8.39,10.011918951132293,10.0,9.23,True,False,True,81.93261037955074,61.07142857142858
557,603585.SH,苏利股份,0.1754901960784313,22.15973003374576,1.2378048875096452,1.362386335151734,0.9350938246168005,3.9911090157955553,270796011.0,10.66,11.75,10.61,11.22,14724350.0,165473818.0,10.68,5.0561797752809,10.0,11.75,True,False,True,77.47869868319133,62.499999999999986
623,600967.SH,内蒙一机,0.07090301003344485,23.55289421157687,1.441242190260041,1.311471603054443,1.2602822458487752,3.069882601443468,1701794667.0,11.05,12.19,11.01,12.19,68515340.0,815818083.0,11.08,10.018050541516232,10.0,12.19,True,False,True,76.16189000774594,53.92857142857142
633,002945.SZ,华林证券,0.23481308411214954,22.434367541766107,1.2575663599001108,0.5450886851851791,1.175178745429506,3.695524503335152,2700000000.0,14.54,16.04,14.46,16.04,54388492.0,856969748.0,14.58,10.013717421124824,10.0,16.04,True,False,True,75.97017815646785,69.28571428571429
681,000635.SZ,英 力 特,0.1801125703564728,31.96428571428571,1.3118889305946513,1.2099428537960941,0.7353603676743725,0.695447568034424,366819816.0,7.22,7.22,7.22,7.22,3086612.0,22285339.0,6.56,10.060975609756095,10.0,7.22,True,False,True,75.18009295120062,37.14285714285714
836,605300.SH,佳禾食品,0.2445193929173692,33.01204819277106,1.219153322861824,0.6465998397437795,0.9673835157901011,2.775030235108558,454398597.0,9.88,10.73,9.69,10.73,8153429.0,85592985.0,9.75,10.051282051282051,10.0,10.73,True,False,True,72.23857474825716,54.642857142857146
892,601933.SH,永辉超市,0.09230769230769226,26.52329749103941,1.6785775203988582,1.553896544474496,1.0626525152520088,3.2108765526127696,8925037165.0,3.1,3.4,3.09,3.28,445303125.0,1454914999.0,3.09,6.148867313915862,10.0,3.4,True,False,True,71.37877614252517,39.64285714285714
1047,600318.SH,新力金融,0.20689655172413782,21.76165803108807,1.5512021260108086,2.2969808169027988,0.9460432360580132,2.735637552428546,512727632.0,6.78,7.49,6.76,7.49,32218302.0,233738082.0,6.81,9.985315712187969,10.0,7.49,True,False,True,67.50387296669248,30.53571428571428
1194,000158.SZ,常山北明,0.048242591316333516,36.15771812080537,1.6006251433654506,2.2543920043134436,1.2362563943439164,2.6247417473958947,1590643645.0,12.63,13.88,12.61,13.88,94121515.0,1266982945.0,12.62,9.984152139461177,10.0,13.88,True,False,True,63.55925639039505,24.64285714285714
1224,300413.SZ,芒果超媒,0.14428766499772416,23.099203475742215,2.4369579198173765,1.8907642501831203,1.2489346668578198,7.1113329590404435,1021699958.0,20.38,20.38,19.66,20.38,137376286.0,2793793896.0,16.98,20.02355712603061,20.0,20.38,True,False,True,62.4903175832688,88.21428571428571
1283,000564.SZ,供销大集,0.12234042553191488,27.34375,2.1956055418866134,2.2174767499510692,1.4034990164188368,1.4244401902785857,15094879524.999998,1.51,1.66,1.5,1.66,476796375.0,773429258.0,1.51,9.93377483443707,10.0,1.66,True,False,True,60.400852052672334,17.857142857142858
1322,605188.SH,国光连锁,0.16685649202733482,37.60523854069224,1.8730256054301795,1.5170131945764225,1.631014765265523,3.8760880865212277,507746500.0,13.78,14.98,13.78,14.98,29855884.0,437708468.0,13.62,9.985315712187969,10.0,14.98,True,False,True,58.16227730441519,61.60714285714285
1393,605577.SH,龙版传媒,0.27417218543046334,27.8362573099415,2.445307695233195,1.468505821914363,2.026263043499183,3.945511574618296,444444445.0,11.4,11.68,11.22,11.68,25751141.0,298788842.0,10.62,9.981167608286267,10.0,11.68,True,False,True,54.02207591014718,62.5
