pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1,601669.SH,中国电建,0.0,9.713024282560689,0.5709852560964807,0.5671777445936005,0.5024510783787253,0.7223485877038005,13071525850.0,4.54,4.54,4.5,4.53,53554047.0,242037539.0,4.53,0.0,10.0,4.98,False,False,True,98.34657879433999
2,000958.SZ,电投产融,0.024489795918367547,15.247524752475261,0.6149816295776622,0.2103756592195935,0.4467908791936541,1.1198543571370914,5383418520.0,5.1,5.13,5.05,5.07,12682801.0,64401227.0,5.11,-0.7827788649706457,10.0,5.62,False,False,True,97.86780383795308
3,600029.SH,南方航空,0.0,15.81108829568787,0.5787267777945093,0.376573159758531,0.5644748871322177,1.049749817257559,13476973184.0,4.86,4.87,4.8,4.84,53275499.0,256861030.0,4.87,-0.6160164271047264,10.0,5.36,False,False,True,97.74277960845124
4,601727.SH,上海电气,0.026639344262295066,14.3987341772152,0.8327951540760676,0.37798773249612894,0.4889894520334976,0.8172676731461208,12615639635.999998,6.45,6.45,6.37,6.43,38971875.0,249882946.0,6.45,-0.31007751937984773,10.0,7.1,False,False,True,97.11765846094205
5,600905.SH,三峡能源,0.06930693069306958,9.695290858725759,0.39175645072166365,0.23045304816154952,0.5706494889457907,0.8197150147793159,28587650142.0,3.68,3.69,3.65,3.66,54003736.0,197803057.0,3.68,-0.5434782608695676,10.0,4.05,False,False,True,96.41015700717195
6,601021.SH,春秋航空,0.03215077605321499,15.198659645763524,0.7688738398312733,0.3941300286129509,0.5917881101246968,0.9531807027028514,978333423.0,42.35,42.44,41.63,41.75,3675375.0,153694113.0,42.36,-1.4400377714825274,10.0,46.6,False,False,True,96.25896491568135
7,600221.SH,海航控股,0.0,15.07936507936507,0.5373328828453361,0.43466191628510353,0.7250430480976963,1.2658888731999218,42845514933.0,1.26,1.26,1.24,1.24,235750455.0,293408968.0,1.26,-1.5873015873015928,10.0,1.39,False,False,True,96.15817018802095
8,688819.SH,天能股份,0.021432945499081313,16.213544241225897,0.915194591884218,0.19598097417960644,0.6126678288867321,0.9535023850459001,972100000.0,20.58,20.72,20.18,20.66,1816547.0,37240779.0,20.58,0.38872691933917736,20.0,24.7,False,False,True,96.01860825741423
9,601111.SH,中国国航,0.026595744680850977,15.64147627416519,0.8285024660379813,0.46688687944884844,0.6690944930551229,0.883519503657835,11638109474.0,5.77,5.78,5.68,5.74,48007628.0,274511150.0,5.79,-0.8635578583765069,10.0,6.37,False,False,True,95.07462686567166
10,002705.SZ,新宝股份,0.05807200929152148,16.540642722117195,0.871218439619893,0.4773983811972525,0.4338622999498927,1.4798625216377355,808103400.0,11.09,11.22,10.88,11.19,5709121.0,63078159.0,11.08,0.9927797833934937,10.0,12.19,False,False,True,94.855592169025
