rank,pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score,launch_detected,launch_type,t_start,t_detect,data_quality_valid,data_quality_reason,negative_remaining_cnt,negative_remaining_qty,orphan_cancel_cnt,orphan_cancel_qty,unknown_link_ratio_pct,pre_cutoff_sell_qty,fixed_1320_gross_sell_qty,fixed_1320_gross_sell_float_ratio_pct,active_sell_qty_at_cutoff,persistent_sell_orders,persistent_sell_qty,persistent_sell_share_pct,sell_lifetime_mean_seconds,sell_lifetime_median_seconds,above_market_sell_share_pct,above_market_sell_distance_bps,sell_wall_refill_ratio_pct,large_sell_cancel_ratio_pct,sell_cancel_ratio_pct,sell_fill_ratio_pct,cancel_to_trade_qty_ratio_pct,gross_sell_float_ratio_pct,active_sell_float_ratio_pct,persistent_sell_float_ratio_pct,max_aggressive_buy_3m,max_aggressive_buy_3m_float_pct,max_aggressive_buy_3m_volume_pct,max_aggressive_buy_3m_prelaunch_sell_pct,launch_buy_qty,launch_absorption_ratio_pct,churn_proxy_pct,delta_qty,delta_ratio_pct,price_change_from_first_trade_pct,bullish_cvd_divergence,large_order_threshold_qty,large_order_net_flow_pct,buy_imbalance_price_levels,stacked_buy_imbalance_levels,bullish_absorption_ratio_pct,buy_refill_float_ratio_pct,sell_refill_float_ratio_pct,median_order_book_imbalance_pct,aggressive_buy_3m_event_volume_pct,meets_10pct_gross_sell_proxy,forward_3d_pct,forward_1w_pct,forward_2w_pct,forward_3w_pct,lv2_score,lv2_score_v2,lv2_score_used,score,signal_quality
1,528,600150.SH,中国船舶,0.3511680482290882,19.112090680100735,0.8958762637091648,0.942226030734058,0.7819425000727953,4.7631150671293705,7525621287.999999,34.5,37.75,34.5,37.47,337744691.0,12392923871.0,34.32,9.178321678321666,10.0,37.75,True,False,True,77.84621344179742,60.3125,True,CONTINUOUS_TRIGGER,135700000,135959999,True,,0,0,0,0,0.0,214535578,180870104,2.4033909903014514,18057426,168,4673413,2.178386001784748,10177.967142336838,12873.055,77.56819430668045,97.60043711442877,38.727690192253334,25.117146689616348,23.02581392816813,68.557201733691,34.38032487089486,2.850735770375375,0.23994598331427494,0.06210002896972778,24082478,0.3200065094745172,7.130379437999812,11.22540057202074,23110341,127.98247657224235,0.0,79069205,23.410939418733896,8.608695652173903,False,2281,5.985300891080476,23,2,5.5324415240491716,3.762920311330979,2.148854224937714,-34.444207219519015,7.130379437999812,False,5.497731518548177,6.08486789431546,5.3376034160661945,,57.96875,,legacy,67.38235854880884,watch
2,1063,000876.SZ,新 希 望,0.2463465553235908,28.350515463917514,1.545800126822498,0.8192008734785052,1.12263784778376,4.905554111980003,4500008269.0,7.0,7.7,6.98,7.7,180838829.0,1360256301.0,7.0,10.000000000000009,10.0,7.7,True,False,True,67.6951384853767,73.59375,True,CONTINUOUS_TRIGGER,130000000,130259999,True,,0,0,0,0,0.0,107868979,148086824,3.290812264060753,12322815,227,8019500,7.434482160065685,8829.959677257526,8762.150000000001,56.06726007854399,158.85633748004366,16.078016275652335,16.84536354023985,16.628750143264078,71.94737701188402,23.520536068058703,2.3970840174471686,0.2738398301374321,0.17821078363889556,14049250,0.3122049818615567,7.768934402909676,13.02436542020111,13436252,109.03557344648928,39.77660444893339,15119611,8.360821115469621,10.000000000000009,False,6600,-9.590493975162822,9,3,3.480103315476664,11.372239102878858,3.3504230656337044,-28.77218112635299,7.768934402909676,False,2.7272727272727337,-2.3376623376623495,-7.012987012987015,,58.4375,,legacy,65.63468731841951,medium
3,402,603230.SH,内蒙新华,0.18000000000000008,17.058823529411747,1.1724462949947396,0.7544446754525119,1.3316368515652306,5.421403326179028,353523000.0,9.35,10.34,9.35,9.8,14459617.0,145637558.0,9.4,4.255319148936176,10.0,10.34,True,False,True,80.12202208018594,67.1875,True,CONTINUOUS_TRIGGER,94000000,94259999,True,,0,0,0,0,0.0,1413300,10050340,2.8429097965337475,505500,0,0,0.0,604.7597742663659,478.46000000000276,58.862237316917856,355.56309084229946,6.021368428500672,35.39531478770132,37.30984221325975,26.922804783131678,7.66626806228685,0.39977596931458487,0.1429892821683455,0.0,1450200,0.4102137626123336,10.029311288120564,102.61091063468477,621300,122.90801186943621,0.0,-4324547,-29.907756201288045,4.81283422459895,False,3000,11.646919831970653,1,1,3.3260676386769195,6.014347015611431,0.883874599389573,16.807990293315353,10.029311288120564,False,1.73469387755103,2.5510204081632626,37.55102040816325,,45.15625,,legacy,65.29709743608367,watch
4,1310,002868.SZ,绿康生化,0.09695885509839001,33.12469908521906,1.9949781416823167,1.9089920519091523,1.2600710555419021,6.774359337803146,107433221.0,23.5,25.83,23.1,25.83,13893477.0,346250944.0,23.48,10.008517887563873,10.0,25.83,True,False,True,60.73213248111563,79.6875,True,CONTINUOUS_TRIGGER,105000000,105259999,True,,0,0,0,0,0.0,10845990,15581857,14.503760433655804,684290,7,110500,1.0188097167708987,2779.3438648377387,2988.9100000000035,44.42369945021155,142.8926431329596,15.49236169312345,22.211808809746955,23.432623485730673,70.2582244682136,52.906842542007304,10.09556438785355,0.6369445071371359,0.10285459094631447,724790,0.6746423436378213,5.216764673090832,6.682561942247781,710290,103.79955866664719,17.59004996641978,-2441857,-17.575564417747984,9.91489361702127,False,1800,-3.1742953905634996,9,1,12.76374269421121,20.174020473611233,10.39808440631227,46.14003590664273,5.216764673090832,True,-2.129307007355774,-9.020518776616326,-10.956252419667045,,60.9375,,legacy,64.59508461650204,medium
5,455,603613.SH,国联股份,0.11334552102376597,22.815249266862182,1.5607287038213324,1.174122821504159,0.7763373892990687,4.666665382190534,720537813.0,19.05,20.8,19.05,20.68,39479984.0,810266162.0,18.91,9.360126916975142,10.0,20.8,True,False,True,79.27755181096262,56.25,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,13076839,1.8148719975644083,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088362,0.4286190043436346,7.822601954448614,0.0,0,0.0,0.0,-9660672,-24.469797150880304,8.55643044619423,False,4000,16.347696594811183,24,2,3.1647929160734036,12.391462375618586,1.1575164897001733,100.0,7.822601954448614,False,-3.3849129593810368,-6.528046421663447,2.852998065764023,,49.21875,,legacy,64.15146081493319,invalid
6,892,002564.SZ,天沃科技,0.09306260575296113,34.860050890585235,1.646440531324605,1.2925542766730687,0.8062897909165972,1.4664425043507896,858904477.0,4.48,4.93,4.48,4.93,16280161.0,78292653.0,4.48,10.044642857142838,10.0,4.93,True,False,True,71.29575828006972,34.6875,True,CONTINUOUS_TRIGGER,94600000,94859999,True,,0,0,0,0,0.0,4713200,16753061,1.9505150396369397,1141700,13,563100,11.947296953237716,654.1564401019542,676.2300000000032,69.96096070610201,371.4835918834305,18.946787745056437,9.284509418048918,11.612068233896292,64.16447424255283,14.238188430691809,0.5487455387894083,0.13292514250103274,0.06556025903681487,5583000,0.65001407601232,34.293272652524756,118.45455316982093,2529100,221.5205395462906,0.0,-234561,-1.440778134810829,10.044642857142838,False,8000,4.37772083457897,5,2,7.423679308679855,8.426024306309444,1.5515882565367045,100.0,34.293272652524756,False,8.519269776876271,4.868154158215021,-0.8113590263691739,,65.78125,,legacy,62.04402872603138,medium
7,1039,600616.SH,金枫酒业,0.3171806167400882,23.28767123287672,1.3396222646896205,1.17523757484903,1.062443801226843,5.19402939628765,669004950.0,4.37,4.81,4.35,4.62,40837524.0,191476023.0,4.37,5.720823798626995,10.0,4.81,True,False,True,68.38853379817935,60.3125,True,CONTINUOUS_TRIGGER,94500000,94759999,True,,0,0,0,0,0.0,5774222,24707966,3.693241133716574,1651680,0,0,0.0,533.7954391891894,460.9400000000023,70.61747885689189,293.57818926110536,10.368496396570828,9.083221760270593,13.84948483103005,57.546142146942046,11.118166713535325,0.8631060203665161,0.24688606564121834,0.0,3920420,0.5860076222156503,9.600043332695684,67.89520735434141,1771020,107.22537053182215,0.0,-9526018,-23.326629694787567,5.720823798626995,False,5000,9.278476334657313,1,1,1.163540086199656,11.888737295591012,1.3877761293096562,34.34779070713646,9.600043332695684,False,3.0303030303030276,-3.0303030303030276,6.060606060606055,,50.78125,,legacy,60.61077770918071,watch
8,1472,600865.SH,百大集团,0.1749515816655907,35.61103810775295,2.3777510669033317,2.3375047478962845,1.2907830233637747,6.546787145038221,376240316.0,10.06,11.35,9.81,11.35,57576605.0,602024510.0,10.32,9.980620155038755,10.0,11.35,True,False,True,51.0652721286074,68.75,True,CONTINUOUS_TRIGGER,135000000,135259999,True,,0,0,0,0,0.0,36736700,29748704,7.906835800127278,2527600,58,1141800,3.1080635985268135,10536.914991545344,12971.629999999997,53.6771076335109,210.61222865575314,19.576603233278984,37.371779400229286,33.33805703832952,59.78162981432737,54.42003049676166,9.764158288661442,0.6718046664621662,0.30347624947242496,3942600,1.047894080548242,6.847572898749414,10.732047244308825,3911200,154.7396739990505,1.7063310818840112,-6467009,-11.232008208889704,12.823061630218668,False,3500,-6.317322808456664,6,2,45.540827848971794,19.406479554413302,4.791963868114548,63.31399097356544,6.847572898749414,False,33.12775330396476,16.211453744493397,-4.317180616740091,,65.78125,,legacy,59.752809957873325,medium
9,826,601949.SH,中国出版,0.24057971014492754,26.62192393736018,1.2536454516974629,0.6521472681179705,1.1772541623687045,4.305037878637025,1903968054.0,5.29,5.83,5.27,5.83,53454259.0,306336551.0,5.3,10.000000000000009,10.0,5.83,True,False,True,72.70385434824715,60.46875000000001,True,CONTINUOUS_TRIGGER,94600000,94859999,True,,0,0,0,0,0.0,21754233,25716733,1.350691412388582,3485200,6,73000,0.3355668756512813,517.2793742293464,405.2199999999975,64.18433138966564,233.1980422730063,21.092028388222193,49.54413964369129,41.38975619135825,42.589453739876745,32.30226987151763,1.1425734247114632,0.1830492897545223,0.003834097943326102,7399900,0.38865673110710713,13.843424524882106,34.01590853605365,6631000,190.26167795248477,0.22460418803173618,-20587823,-38.51484125895375,10.207939508506625,False,8900,-11.372844958902153,3,1,0.9221782823448968,7.941923746163863,0.6314756161344711,100.0,13.843424524882106,False,14.57975986277873,7.375643224699813,4.80274442538593,,41.5625,,legacy,59.357359456711215,watch
10,1203,002567.SZ,唐人神,0.3147208121827412,24.92012779552717,1.5152242875492656,1.4383265611284402,1.0438579929961476,4.599810283959067,1431666421.0,3.76,4.13,3.74,4.05,94719470.0,382086250.0,3.75,7.999999999999985,10.0,4.13,True,False,True,64.16618245206276,43.125,True,CONTINUOUS_TRIGGER,135400000,135659999,True,,0,0,0,0,0.0,84826521,68567126,4.789322777585771,10931917,187,5642100,6.6513396205415525,9077.299005899446,10318.64,53.924598652348365,166.77163417937967,13.574636639878229,25.395915048721797,23.446963008184667,63.66565593324286,52.95530264263514,5.925019945690268,0.7635798981975285,0.3940931991726863,11284567,0.7882120328084443,11.913672025403013,13.30311188879242,11261667,103.01639684970165,0.0,8737240,9.224333708792923,7.71276595744681,False,9500,-31.881168676302767,4,1,1.8541040398696333,8.557000304193068,5.115535220058081,-30.34019899817963,11.913672025403013,False,2.2222222222222143,-2.4691358024691246,-7.654320987654306,,59.375,,legacy,58.281032103428245,medium
