pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1,600029.SH,南方航空,0.022792022792022807,14.747474747474731,0.5941240487154797,0.385369120516047,0.5231938374007051,0.87391376584181,13476973184.0,5.01,5.04,5.0,5.03,45387665.0,227879883.0,5.03,0.0,10.0,5.53,False,False,True,98.54320030995738
2,601669.SH,中国电建,0.039999999999999855,14.348785871964665,0.5335188547836112,0.5914947588157761,0.4749420676432228,0.8116505582573964,13071525850.0,4.65,4.66,4.62,4.63,62754703.0,290982359.0,4.63,0.0,10.0,5.09,False,False,True,97.7411855869818
3,600905.SH,三峡能源,0.06930693069306958,17.17451523545708,0.38962949976401595,0.22868279965393745,0.5176579306700015,0.6311178673153122,28587650142.0,3.68,3.69,3.67,3.68,41259355.0,151757607.0,3.68,0.0,10.0,4.05,False,False,True,97.19101123595506
4,601021.SH,春秋航空,0.074375363160953,14.26244765006981,0.8175623796626248,0.4156777438441826,0.5666631645435394,1.2970350535812167,978333423.0,43.64,44.35,43.55,44.22,5274671.0,232800723.0,43.89,0.7518796992481258,10.0,48.28,False,False,True,96.8752421542038
5,601727.SH,上海电气,0.06352459016393436,18.354430379746844,0.7817982542108137,0.3673494082515925,0.4581186996816823,1.185987411943798,12615639635.999998,6.7,6.72,6.63,6.71,54962781.0,366496086.0,6.63,1.2066365007541435,10.0,7.29,False,False,True,96.30375823324293
6,688425.SH,铁建重工,0.1020408163265305,11.688311688311682,0.6701884864352031,0.25545061992159557,0.739529383622344,0.8653064163982855,5333497000.0,4.05,4.06,4.03,4.04,11789325.0,47717879.0,4.05,-0.24691358024691024,20.0,4.86,False,False,True,95.31576908175126
7,001289.SZ,龙源电力,0.07116104868913842,21.304926764314235,0.7170567048209625,0.08479855767509299,0.473897009923325,0.8814206670165761,5041934164.0,15.22,15.24,15.05,15.12,3768503.0,56912162.0,15.19,-0.4608294930875556,10.0,16.71,False,False,True,95.18209996125532
8,002206.SZ,海 利 得,0.089285714285714,11.834319526627212,0.6507832681461512,0.7631929406622275,0.6270476084093597,1.204180934352695,1056970986.0,5.27,5.3,5.21,5.22,9713800.0,50899358.0,5.27,-0.9487666034155517,10.0,5.8,False,False,True,95.07361487795428
9,601111.SH,中国国航,0.03753351206434332,17.832167832167833,0.9404351601761995,0.4884526531306235,0.6686023146915939,0.8007169005873512,11638109474.0,5.83,5.88,5.8,5.86,45518077.0,266067056.0,5.86,0.0,10.0,6.45,False,False,True,94.98062766369624
10,002705.SZ,新宝股份,0.06620209059233452,16.540642722117195,0.9426085445415605,0.6396891783897904,0.58135307768163,0.831215723446855,808103400.0,11.14,11.37,11.11,11.35,4296845.0,48466358.0,11.15,1.7937219730941534,10.0,12.27,False,False,True,94.7520340953119
11,600271.SH,航天信息,0.06937172774869113,13.070866141732296,1.0062488738001676,0.5927905696199051,0.6937604058372454,0.9662788911310547,1852884638.0,6.88,6.9,6.77,6.82,10613342.0,72266710.0,6.88,-0.8720930232558044,10.0,7.57,False,False,True,94.50794265788454
12,688819.SH,天能股份,0.049716803020767725,21.286889211417503,0.9289566798814036,0.211184384322596,0.6362403702294719,0.7413204019205003,972100000.0,21.5,21.52,21.26,21.32,1521874.0,32509183.0,21.46,-0.6523765144454852,20.0,25.75,False,False,True,94.13986826811315
13,000625.SZ,长安汽车,0.08131241084165482,20.763358778625964,0.785584808290911,0.48993100297940034,0.562683006697482,0.8086407482985495,8267021316.0,7.1,7.15,7.09,7.11,32752134.0,232915284.0,7.12,-0.1404494382022392,10.0,7.83,False,False,True,94.02557148392096
