pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1,600029.SH,南方航空,0.017094017094016978,14.747474747474731,0.73423373063775,0.42687214034967946,0.5647380465645914,0.7443691450766524,13476973184.0,5.0,5.02,4.99,5.01,42823141.0,214524936.0,0.0,10.0,5.51,False,False,True,98.33268783888458
2,601669.SH,中国电建,0.03200000000000003,14.348785871964665,0.5797055300051157,0.6587257473847199,0.5152858639163739,0.6939796016889691,13071525850.0,4.61,4.65,4.6,4.64,59755465.0,276965125.0,0.6507592190889255,10.0,5.07,False,False,True,97.62199845081332
3,601021.SH,春秋航空,0.056362579895409576,13.785912882298422,0.961595667651536,0.45973531050466393,0.5976488131186193,0.9636052668357618,978333423.0,43.39,43.75,43.38,43.74,4334050.0,188936588.0,0.36714089031666397,10.0,47.94,False,False,True,96.8144848954299
4,600905.SH,三峡能源,0.09900990099009907,17.17451523545708,0.5410644869523878,0.25261283890522,0.5404299666131278,1.3584340126955614,28587650142.0,3.69,3.72,3.69,3.69,98100772.0,362805105.0,-0.5390835579514808,10.0,4.08,False,False,True,96.44074360960495
5,688425.SH,铁建重工,0.09693877551020408,11.688311688311682,0.6759207021335194,0.26920262446945653,0.7648888399369408,1.3930511172657192,5333497000.0,4.04,4.1,4.03,4.08,20001308.0,81518462.0,0.990099009900991,20.0,4.85,False,False,True,95.75522850503485
6,601111.SH,中国国航,0.02688172043010744,17.626527050610807,1.0008678431482394,0.509703463715669,0.688308674561227,1.044276090185674,11638109474.0,5.83,5.86,5.8,5.83,61946298.0,361040802.0,0.0,10.0,6.41,False,False,True,95.04066615027112
7,601456.SH,国联民生,0.11271676300578054,13.54534746760896,0.5547942352345381,0.36366910334226754,0.7601053841592601,1.6429817146412422,4376981617.0,8.87,9.01,8.85,9.0,26152539.0,234249450.0,1.3513513513513375,10.0,9.77,False,False,True,94.96707978311386
8,688459.SH,哈铁科技,0.09756097560975618,12.191958495460442,0.6784146070120588,0.234529593749997,0.8258099431667092,2.0504963814756674,480000000.0,8.0,8.33,7.98,8.17,2308330.0,18916956.0,2.252816020025028,20.0,9.59,False,False,True,94.79279628195196
9,601727.SH,上海电气,0.06762295081967216,21.677215189873422,0.8073928710247229,0.427509507295183,0.5166418607861348,0.7638774042944905,12615639635.999998,6.62,6.66,6.6,6.66,41198245.0,273550324.0,0.15037593984961184,10.0,7.32,False,False,True,94.70759101471728
10,601881.SH,中国银河,0.1267387944358578,17.677642980935882,0.6082900756769917,0.33591245067438646,0.6547131719997699,1.3199375305510082,7243417622.999999,12.32,12.49,12.28,12.47,32116115.0,398916918.0,0.8899676375404564,10.0,13.6,False,False,True,94.44616576297443
