rank,pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score,launch_detected,launch_type,t_start,t_detect,data_quality_valid,data_quality_reason,negative_remaining_cnt,negative_remaining_qty,orphan_cancel_cnt,orphan_cancel_qty,unknown_link_ratio_pct,pre_cutoff_sell_qty,fixed_1320_gross_sell_qty,fixed_1320_gross_sell_float_ratio_pct,active_sell_qty_at_cutoff,persistent_sell_orders,persistent_sell_qty,persistent_sell_share_pct,sell_lifetime_mean_seconds,sell_lifetime_median_seconds,above_market_sell_share_pct,above_market_sell_distance_bps,sell_wall_refill_ratio_pct,large_sell_cancel_ratio_pct,sell_cancel_ratio_pct,sell_fill_ratio_pct,cancel_to_trade_qty_ratio_pct,gross_sell_float_ratio_pct,active_sell_float_ratio_pct,persistent_sell_float_ratio_pct,max_aggressive_buy_3m,max_aggressive_buy_3m_float_pct,max_aggressive_buy_3m_volume_pct,max_aggressive_buy_3m_prelaunch_sell_pct,launch_buy_qty,launch_absorption_ratio_pct,churn_proxy_pct,delta_qty,delta_ratio_pct,price_change_from_first_trade_pct,bullish_cvd_divergence,large_order_threshold_qty,large_order_net_flow_pct,buy_imbalance_price_levels,stacked_buy_imbalance_levels,bullish_absorption_ratio_pct,buy_refill_float_ratio_pct,sell_refill_float_ratio_pct,median_order_book_imbalance_pct,aggressive_buy_3m_event_volume_pct,meets_10pct_gross_sell_proxy,forward_3d_pct,forward_1w_pct,forward_2w_pct,forward_3w_pct,lv2_score,lv2_score_v2,lv2_score_used,score,signal_quality
1,1003,605077.SH,华康股份,0.28349944629014384,25.677031093279833,1.4987592797813616,1.47428839104061,0.8087717184904575,7.699765008460385,299429678.0,13.1,13.78,12.8,13.78,33990280.0,457738082.0,12.53,9.976057462090981,10.0,13.78,True,False,True,68.0643286184848,69.28571428571429,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,24387388,8.144612839613046,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5596588,1.8690825964151756,16.465260068466634,0.0,0,0.0,0.0,-1095252,-3.222250596346956,5.190839694656479,False,3000,21.672954738825332,4,1,1.3694989718269057,18.60371903415666,4.189998828372651,100.0,16.465260068466634,False,-9.433962264150942,-17.997097242380256,,,63.21428571428571,,legacy,66.61109073546102,invalid
2,891,603066.SH,音飞储存,0.24189526184538626,33.293269230769226,0.9390781034644757,1.372063663292159,0.9008978986016717,5.206551215645251,294180074.0,9.26,10.22,9.22,9.75,21015400.0,205960322.0,9.29,4.9515608180839665,10.0,10.22,True,False,True,70.7479170703352,50.71428571428571,True,CONTINUOUS_TRIGGER,101800000,102059999,True,,0,0,0,0,0.0,2511800,12977106,4.411279738817388,660700,6,233100,9.28019746795127,1689.873728100911,1522.0299999999988,69.77068237917031,253.7734039226442,4.009077155824508,23.704281504593517,23.779759534994824,49.91639461740584,11.563424916965653,0.8538307730522905,0.22459033034304016,0.0792371817813874,2824200,0.960024233320439,13.438716369900169,112.43729596305438,956300,144.74042682003935,1.2316891111092656,-2088600,-9.93842610656947,5.291576673866083,False,3000,14.65877404189309,6,1,9.884868421052632,11.994626121414328,1.6654764999481237,26.912181303116146,13.438716369900169,False,-5.641025641025643,-8.20512820512821,,,70.0,,legacy,66.47941982450799,medium
3,1093,002162.SZ,悦心健康,0.25867507886435326,30.487804878048784,1.3658343484046471,1.4051704713157305,0.9700201284684379,8.540173706427145,918321621.0,4.51,4.51,4.27,4.51,110202267.0,491451011.0,4.1,10.000000000000009,10.0,4.51,True,False,True,66.32241813602016,83.57142857142856,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,115032624,12.526398308550768,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6393539,0.6962200228976205,5.801640178599956,0.0,0,0.0,49.50648217570343,-29044521,-26.35564747501973,0.0,False,7200,15.68414105310556,0,0,5.032776770405648,31.284050536364315,11.420139154057878,58.342403980718395,5.801640178599956,False,-12.195121951219512,-13.303769401330367,,,52.14285714285714,,legacy,64.80937387549479,invalid
4,765,002121.SZ,科陆电子,0.08412698412698402,39.4144144144144,1.328441079962562,1.5091520669442744,0.6854567979284824,4.409740248984101,1411302549.0,4.97,5.47,4.95,5.26,93921209.0,495017175.0,4.97,5.835010060362178,10.0,5.47,True,False,True,73.23968223212555,42.857142857142854,True,CONTINUOUS_TRIGGER,93900000,94159999,True,,0,0,0,0,0.0,5724771,107821802,7.639878640933426,3091100,0,0,0.0,440.1278356940509,319.76000000000204,69.61151808517756,427.55551314324583,6.7304002203756275,10.2493585208655,12.237537536435955,33.767289556211075,2.1212152411709266,0.4056374024163971,0.21902461681162883,0.0,10119528,0.7170346292628995,10.774486516671649,176.76738510588459,3782800,122.37714729384362,3.5158204455207667,3157965,3.3623555676332915,5.835010060362178,False,4600,20.500200332813005,6,2,2.255538596659238,11.032857561996794,6.570960143571597,30.022871179276194,10.774486516671649,False,-6.844106463878319,-7.604562737642572,,,63.57142857142857,,legacy,63.77928557588507,watch
5,830,603214.SH,爱婴室,0.3234100135317997,23.063683304647164,1.0801257351710152,1.5740673331425963,0.7980578589294044,9.707715610228385,138540036.0,15.41,15.41,14.53,14.71,21169746.0,319746972.0,14.01,4.996431120628131,10.0,15.41,True,False,True,71.92404572757218,71.42857142857143,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,10948185,7.902542338014118,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077546,0.7777867186348933,5.090028005059674,0.0,0,0.0,0.0,-8956254,-42.306856208855784,-4.542504866969499,False,2300,7.806357242075554,1,1,11.14054305251278,20.30662096839646,2.9385577754577747,46.77234620071441,5.090028005059674,False,-9.177430319510549,-12.304554724677097,,,46.78571428571428,,legacy,63.02653486312177,invalid
6,667,000993.SZ,闽东电力,0.1763224181360202,30.454042081949062,1.1465963414364462,1.9891891270440383,0.5015298318322158,3.1947681373856716,457951455.0,10.41,11.47,10.35,11.47,29102806.0,327480755.0,10.43,9.971236816874418,10.0,11.47,True,False,True,74.90021313698895,24.999999999999996,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,26349812,5.753843930903113,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4149442,0.9060877424223927,14.257876027486835,0.0,0,0.0,0.0,-17137770,-58.887002167419865,10.18251681075888,False,5000,8.553398596685144,22,2,8.912518736790823,38.33434703248186,5.472055766260203,100.0,14.257876027486835,False,33.129904097646026,61.115954664341764,,,56.42857142857143,,legacy,58.45509591164503,invalid
7,1396,002790.SZ,瑞尔特,0.22789539227895395,35.46511627906976,1.932543152049258,2.1538671832296004,1.275775394848711,3.9565538351658485,260697500.0,7.69,7.69,7.69,7.69,22216358.0,170843793.0,6.99,10.014306151645203,10.0,7.69,True,False,True,53.115675256733184,42.14285714285714,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,21638098,8.300078826992971,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314800,0.12075297998638268,1.416973925249134,0.0,0,0.0,61.173888177351124,-21586758,-97.16605214950174,0.0,False,34200,1.1419513495416307,0,0,100.0,22.612721640982365,5.213172354932441,100.0,1.416973925249134,False,8.972691807542276,-8.192457737321202,,,42.857142857142854,,legacy,47.33062529410136,invalid
