pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1,600029.SH,南方航空,0.019943019943019766,13.939393939393918,0.5069770279275859,0.35805386222251256,0.4945395503844584,1.0482029655834495,13476973184.0,5.01,5.04,4.99,5.03,50580847.0,253814253.0,5.02,0.19920318725101804,10.0,5.52,False,False,True,98.85874830459213
2,601669.SH,中国电建,0.051999999999999956,14.348785871964665,0.5036540326789307,0.5774533142968875,0.47652969859533956,1.3348877665758259,13071525850.0,4.65,4.69,4.63,4.68,100759944.0,469837245.0,4.66,0.42918454935620964,10.0,5.13,False,False,True,97.53729897306722
3,601021.SH,春秋航空,0.05113306217315529,11.9823173569102,0.8241742490079584,0.4203210943555755,0.5931538599902231,0.8679851563969068,978333423.0,43.25,43.58,43.0,43.52,3569278.0,154499865.0,43.49,0.06898137502875379,10.0,47.84,False,False,True,97.4539817864755
4,600905.SH,三峡能源,0.08910891089108938,15.512465373961227,0.4035408133379981,0.22538359004658898,0.5264875580746582,1.1248151035412564,28587650142.0,3.7,3.72,3.68,3.7,72473943.0,268321334.0,3.7,0.0,10.0,4.07,False,False,True,97.23115675256733
5,601111.SH,中国国航,0.03753351206434332,15.034965034965042,0.8090181668606669,0.45673001030579163,0.6402427058751919,1.0224703466042442,11638109474.0,5.84,5.91,5.81,5.9,54349144.0,319025193.0,5.86,0.6825938566553003,10.0,6.45,False,False,True,96.79325712071304
6,600221.SH,海航控股,0.031250000000000035,17.829457364341074,0.45631534962801484,0.44111805096880546,0.6886166604695493,0.8734894661017486,42845514933.0,1.3,1.31,1.29,1.31,165088898.0,214788169.0,1.31,0.0,10.0,1.44,False,False,True,95.94845960085253
7,601881.SH,中国银河,0.1097372488408038,14.695945945945944,0.6586286484220037,0.32617645467491957,0.6490219354385007,0.7886029983472502,7243417622.999999,12.23,12.23,12.13,12.17,18631789.0,226764696.0,12.25,-0.6530612244897926,10.0,13.48,False,False,True,95.61519085448558
8,601727.SH,上海电气,0.0860655737704918,18.354430379746844,0.8133471349360184,0.37920073678616406,0.4766951278138392,1.1894437931636352,12615639635.999998,6.72,6.79,6.71,6.74,56901324.0,384055566.0,6.74,0.0,10.0,7.41,False,False,True,95.5570625847704
9,001289.SZ,龙源电力,0.06741573033707857,21.304926764314235,0.703548224776433,0.08296345735465202,0.473532936273822,0.9151427090113565,5041934164.0,15.17,15.29,15.14,15.29,3828008.0,58297769.0,15.17,0.7910349373764003,10.0,16.69,False,False,True,95.44468126332106
10,688425.SH,铁建重工,0.1122448979591838,11.428571428571432,0.5883057875423143,0.2499798809298985,0.7311074636171386,0.8691958533480331,5333497000.0,4.06,4.09,4.05,4.07,11588701.0,47176665.0,4.07,0.0,20.0,4.88,False,False,True,95.27610928114707
11,688819.SH,天能股份,0.0440528634361233,21.286889211417503,0.9350344328771655,0.19743534615779848,0.5962377359686309,0.6372519954211734,972100000.0,21.39,21.44,21.16,21.34,1223058.0,26061710.0,21.37,-0.14038371548901196,20.0,25.64,False,False,True,94.42937415229608
12,603885.SH,吉祥航空,0.05163511187607556,19.230769230769205,0.9261147345652809,0.5257559314512426,0.6068173144554042,0.7673486733400394,2169005268.0,10.11,10.19,10.07,10.15,8750594.0,88701073.0,10.18,-0.29469548133594925,10.0,11.2,False,False,True,94.36543305560939
13,002206.SZ,海 利 得,0.11160714285714289,11.834319526627212,0.6646657092661723,0.7553380561763066,0.635578307936923,0.8121793992840992,1056970986.0,5.29,5.32,5.26,5.3,6484200.0,34288233.0,5.32,-0.375939849624074,10.0,5.85,False,False,True,94.32861848478979
14,000157.SZ,中联重科,0.03313253012048176,17.960426179604248,0.8963476288313789,0.6294289447874521,0.6682915937406108,0.6398957115346539,7070417363.0,6.68,6.68,6.62,6.66,28477441.0,189444749.0,6.68,-0.29940119760478723,10.0,7.35,False,False,True,94.28986630497965
15,600406.SH,国电南瑞,0.11330049261083731,19.190968955785493,0.7587980243659563,0.456699417696945,0.5534893764429986,0.6869677111582231,8008176162.0,22.4,22.54,22.26,22.45,25124672.0,563423730.0,22.41,0.17849174475679241,10.0,24.65,False,False,True,93.98759930246077
16,002705.SZ,新宝股份,0.09407665505226485,16.540642722117195,1.004227769811646,0.583920764347726,0.5306704333036416,0.5671497085241074,808103400.0,11.39,11.4,11.26,11.27,2676200.0,30248604.0,11.39,-1.0535557506584858,10.0,12.53,False,False,True,93.97016082154622
17,600271.SH,航天信息,0.07722513089005245,13.070866141732296,1.037302748346625,0.584896009052017,0.6907794604583521,0.6844600126027821,1852884638.0,6.93,6.94,6.86,6.89,7417800.0,51138176.0,6.94,-0.7204610951008772,10.0,7.63,False,False,True,93.90621972485953
18,000625.SZ,长安汽车,0.09843081312410847,20.763358778625964,0.7892389557197305,0.48668989726843,0.5589606149823575,0.9496625138729089,8267021316.0,7.23,7.23,7.15,7.18,38209441.0,274187634.0,7.24,-0.8287292817679592,10.0,7.96,False,False,True,93.4876961829103
19,002736.SZ,国信证券,0.14016736401673635,8.171603677221672,0.7101046926368809,0.23513617383843505,0.7826338688936267,0.604111122122528,9612429377.0,10.13,10.14,10.06,10.1,13654300.0,137813529.0,10.12,-0.19762845849802257,10.0,11.13,False,False,True,93.48188335593876
20,601868.SH,中国能建,0.13043478260869587,19.262295081967217,0.6188655950885542,0.5830636524576299,0.40007751951787157,1.5519463130370554,32428727636.0,2.49,2.53,2.48,2.51,293442201.0,735815945.0,2.49,0.8032128514056103,10.0,2.74,False,False,True,93.45088161209068
21,601456.SH,国联民生,0.11864406779661008,10.356731875719216,0.6968577953237938,0.39313243361971795,0.8216867386744799,0.635607455375562,4376981617.0,8.84,8.85,8.79,8.83,10937110.0,96465226.0,8.84,-0.11312217194570096,10.0,9.72,False,False,True,93.40437899631854
22,605259.SH,绿田机械,0.15028901734104036,14.320388349514568,1.0007368896188762,0.43098356331168436,0.5178826362840884,0.9223304791101007,172480000.0,18.09,18.15,17.95,18.08,685624.0,12368101.0,18.04,0.22172949002217113,10.0,19.84,False,False,True,93.37725247045147
23,301109.SZ,军信股份,0.12568306010928953,16.084484159220125,0.6977888158826273,0.5883529951092715,0.6821640424803842,0.9464985765535457,624288808.0,13.0,13.15,12.95,13.13,3476510.0,45431263.0,13.0,1.0000000000000009,20.0,15.6,False,False,True,93.27068397597364
24,600779.SH,水井坊,0.06399235912129894,18.244803695150114,1.0010533835749325,0.488233258728279,0.7195693835016352,0.7062525713948401,487503198.0,27.3,27.43,27.04,27.2,1680989.0,45784897.0,27.32,-0.43923865300147247,10.0,30.05,False,False,True,92.9897306723503
25,601633.SH,长城汽车,0.06469500924214412,23.72644801116539,0.761134123080982,0.17477320263295198,0.6700651420157258,1.5199038052358158,6213232822.0,15.03,15.03,14.66,14.74,16510277.0,244308517.0,15.03,-1.9294743845642004,10.0,16.53,False,False,True,92.92191435768262
26,601800.SH,中国交建,0.14199395770392742,16.636528028933096,0.8421762384518748,0.21134149737047853,0.7069877190635245,1.0884142633132268,11722873078.999998,6.01,6.03,5.96,6.02,26965785.0,161973939.0,6.0,0.3333333333333188,10.0,6.6,False,False,True,92.91803913970162
27,000958.SZ,电投产融,0.0478260869565215,27.499999999999993,0.6147394237838016,0.22065250650435553,0.4300144152677707,0.7125979380195283,5383418520.0,5.29,5.31,5.27,5.29,8464700.0,44763596.0,5.31,-0.37664783427494575,10.0,5.84,False,False,True,92.74074791707035
28,002959.SZ,小熊电器,0.11767169179229489,16.35157545605306,0.9943082336469148,0.4936175192724061,0.6807236855085331,0.6837899768364477,139794390.0,32.96,32.96,32.41,32.55,471849.0,15365220.0,32.96,-1.2439320388349606,10.0,36.26,False,False,True,92.65646192598334
29,300360.SZ,炬华科技,0.03433476394849789,15.605381165919274,0.8132655437501907,0.8791884502343407,0.7843617506625199,0.6354381340335863,500308887.00000006,11.47,11.52,11.4,11.46,2795075.0,32026081.0,11.47,-0.08718395815169311,20.0,13.76,False,False,True,92.63708583607827
30,600131.SH,国网信通,0.11957569913211188,20.02945508100147,0.906557477702129,0.5175605778748884,0.5569007747127482,0.9946009502234547,1195905149.0,14.79,14.81,14.56,14.59,6156116.0,90022018.0,14.82,-1.5519568151147078,10.0,16.3,False,False,True,92.5014532067429
31,600528.SH,中铁工业,0.1794019933554817,14.528593508500776,0.5082449444479853,0.3900273528106736,0.6856781362621528,0.8599415313391133,2221551588.0,7.02,7.04,6.98,7.03,7451100.0,52252577.0,7.01,0.28530670470756636,10.0,7.71,False,False,True,92.45107537298975
32,000885.SZ,城发环境,0.07122507122507123,11.018363939899833,0.8561190167540227,0.6600749312091199,0.8846463098265575,0.49325213151930436,642078255.0,12.24,12.24,12.17,12.22,2090500.0,25522081.0,12.23,-0.08176614881438837,10.0,13.45,False,False,True,92.38325905832203
33,601186.SH,中国铁建,0.20909090909090905,14.361702127659592,0.627128817446389,0.248547763759362,0.5964115099025779,1.6470739422004874,11503245500.0,6.1,6.15,6.07,6.14,47091589.0,288241721.0,6.1,0.6557377049180246,10.0,6.71,False,False,True,92.05774074791708
34,600009.SH,上海机场,0.13453650533223963,12.448700410396718,0.77801303945561,0.34637561054894045,0.8582025510799641,0.6225333451699261,2480218840.0,23.52,23.59,23.34,23.5,5348105.0,127053059.0,23.57,-0.2969876962240159,10.0,25.93,False,False,True,92.05192792094556
35,002939.SZ,长城证券,0.07789473684210527,11.577608142493624,0.6582936815882856,0.6029402837028605,0.9556313507589075,0.5604347563518678,3602659631.0,8.07,8.09,8.04,8.06,12173700.0,98096156.0,8.09,-0.3708281829418958,10.0,8.9,False,False,True,92.00930052315444
