pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1,600029.SH,南方航空,0.022792022792022807,14.747474747474731,0.5941240487154797,0.37979369393482204,0.5208715962595953,0.8064856296572598,13476973184.0,5.02,5.05,5.01,5.02,41279719.0,207481821.0,5.03,-0.19880715705766772,10.0,5.53,False,False,True,98.52189074002325
2,601669.SH,中国电建,0.039999999999999855,14.348785871964665,0.5231238443885999,0.5836565667656874,0.47519952947953364,1.0610283649369412,13071525850.0,4.63,4.66,4.62,4.66,80948845.0,376048739.0,4.63,0.6479481641468832,10.0,5.09,False,False,True,97.74506005424254
3,600905.SH,三峡能源,0.06930693069306958,16.89750692520775,0.37636690029452025,0.223670049242897,0.5147809719332272,1.0916062342214896,28587650142.0,3.68,3.71,3.67,3.7,69799498.0,257824764.0,3.68,0.5434782608695565,10.0,4.05,False,False,True,97.34792716001549
4,601021.SH,春秋航空,0.09355026147588608,14.26244765006981,0.8376393950607657,0.4244347225986535,0.5896419763832895,1.3679597643451684,978333423.0,44.07,44.14,43.49,43.49,5680298.0,248253346.0,44.22,-1.6508367254635892,10.0,48.64,False,False,True,95.83494769469199
5,688425.SH,铁建重工,0.09693877551020408,11.688311688311682,0.6104187808321642,0.250182640020229,0.7278352445384334,1.0759071941303244,5333497000.0,4.04,4.09,4.03,4.07,14356350.0,58416679.0,4.04,0.7425742574257432,20.0,4.85,False,False,True,95.60829135993801
6,601727.SH,上海电气,0.0799180327868852,18.354430379746844,0.8274887908151396,0.36958650845533203,0.46236492503404836,1.4970554207451339,12615639635.999998,6.72,6.76,6.66,6.74,69801260.0,468685332.0,6.71,0.44709388971684305,10.0,7.38,False,False,True,95.57535838822162
7,001289.SZ,龙源电力,0.05805243445692862,21.304926764314235,0.715051216419611,0.08398350637407799,0.47518018334708667,0.6865914267619604,5041934164.0,15.1,15.17,15.07,15.17,2907298.0,43977007.0,15.12,0.3306878306878369,10.0,16.63,False,False,True,95.55211158465711
8,002206.SZ,海 利 得,0.06696428571428549,11.834319526627212,0.65175319682994,0.7677013425607824,0.6371228311927434,0.9737493883467098,1056970986.0,5.23,5.33,5.22,5.32,7901373.0,41848983.0,5.22,1.9157088122605526,10.0,5.74,False,False,True,95.5366137156141
9,601881.SH,中国银河,0.11437403400309118,14.695945945945944,0.6826747444830245,0.3295581560036155,0.6504456009484718,0.7029363123359624,7243417622.999999,12.28,12.36,12.22,12.25,16779985.0,205976142.0,12.28,-0.24429967426710109,10.0,13.51,False,False,True,95.21115846571097
10,601111.SH,中国国航,0.03753351206434332,17.832167832167833,0.9239606955962987,0.48515246721247207,0.6736444656892467,0.6382355718002785,11638109474.0,5.85,5.9,5.84,5.86,36036424.0,211293608.0,5.86,0.0,10.0,6.45,False,False,True,94.83533514141807
11,600271.SH,航天信息,0.06151832460732992,13.070866141732296,0.9706028045018632,0.5872479579594805,0.6935571815783106,1.0960595705523097,1852884638.0,6.8,6.94,6.8,6.94,11926254.0,82250069.0,6.82,1.7595307917888547,10.0,7.5,False,False,True,94.67260751646647
12,688819.SH,天能股份,0.04090623033354302,21.286889211417503,0.9412778060096316,0.20403313959468755,0.6152632045888057,0.5191029583123961,972100000.0,21.29,21.43,21.22,21.37,1029592.0,21996153.0,21.32,0.23452157598500278,20.0,25.58,False,False,True,94.33746609841147
13,605259.SH,绿田机械,0.11672794117647056,14.320388349514568,1.0056268353538926,0.4322416801948014,0.517115404623676,0.8280010561607511,172480000.0,17.68,18.2,17.68,18.04,617300.0,11070301.0,17.75,1.6338028169013974,10.0,19.53,False,False,True,94.30065865943432
14,000625.SZ,长安汽车,0.07988587731811704,20.763358778625964,0.7449882325819757,0.4741386232322569,0.5445455472083045,1.8146308913006808,8267021316.0,7.11,7.27,7.09,7.24,71128343.0,511684378.0,7.11,1.8284106891701901,10.0,7.82,False,False,True,94.20379697791553
15,002705.SZ,新宝股份,0.08943089430894302,16.540642722117195,1.0198568322509944,0.5984029766487755,0.5438319482663406,0.9636928960326611,808103400.0,11.35,11.52,11.31,11.39,4660144.0,53187472.0,11.35,0.35242290748900285,10.0,12.49,False,False,True,93.77954281286323
16,000157.SZ,中联重科,0.021084337349397405,17.960426179604248,0.9767243844727286,0.6503276679340165,0.6829668332598035,0.7966930976779352,7070417363.0,6.65,6.73,6.64,6.68,36632650.0,244674247.0,6.64,0.6024096385542244,10.0,7.3,False,False,True,93.72142580395196
17,301109.SZ,军信股份,0.10746812386156646,16.084484159220125,0.6844098366200457,0.599595916510483,0.6932447802830995,0.9024072439212737,624288808.0,12.89,13.05,12.83,13.0,3377900.0,43863155.0,12.9,0.7751937984496138,20.0,15.48,False,False,True,93.63425029058504
18,601868.SH,中国能建,0.11801242236024867,19.262295081967217,0.6171394550515202,0.5825724324449669,0.39294387459980396,1.1970477321760873,32428727636.0,2.47,2.5,2.47,2.49,226147248.0,562022593.0,2.47,0.809716599190291,10.0,2.72,False,False,True,93.58194498256489
19,601456.SH,国联民生,0.11186440677966107,10.586881472957433,0.6910940628519875,0.39720047218100496,0.8135562726793882,0.7748662941395399,4376981617.0,8.82,8.89,8.79,8.84,13471354.0,119144122.0,8.82,0.22675736961450532,10.0,9.7,False,False,True,93.50445563734988
20,601800.SH,中国交建,0.1268882175226586,16.636528028933096,0.8330541685712911,0.21041183448608503,0.6991231891415918,1.024145956345489,11722873078.999998,5.95,6.0,5.94,6.0,25261904.0,151134579.0,5.95,0.8403361344537785,10.0,6.55,False,False,True,93.3959705540488
21,600528.SH,中铁工业,0.15614617940199355,14.528593508500776,0.4860612553615472,0.383737100504365,0.6691976568357376,1.2618839784335043,2221551588.0,6.95,7.04,6.94,7.01,10757457.0,75328811.0,6.94,1.0086455331411948,10.0,7.63,False,False,True,93.37272375048431
22,601163.SH,三角轮胎,0.0829694323144103,13.68948247078463,0.7963244376231869,0.40064433125,0.8627487247816314,1.3185323210535256,800000000.0,12.39,12.61,12.36,12.53,4226100.0,52926146.0,12.36,1.3754045307443397,10.0,13.6,False,False,True,93.24099186361876
23,601618.SH,中国中冶,0.07368421052631585,15.416666666666679,1.0409130294066622,0.4224237930125465,0.7547398004202276,2.3196828343855915,17852619170.0,2.55,2.64,2.54,2.62,174935891.0,455119972.0,2.54,3.149606299212593,10.0,2.79,False,False,True,93.24099186361875
24,600221.SH,海航控股,0.015625000000000017,24.031007751937985,0.45516724400229747,0.447372712639206,0.6954090754388677,0.7050712941837536,42845514933.0,1.29,1.31,1.29,1.31,135147461.0,175988106.0,1.3,0.7692307692307665,10.0,1.43,False,False,True,93.1576908175126
25,601633.SH,长城汽车,0.05457746478873232,23.72644801116539,0.766245701723195,0.17682388249932798,0.6740022208591195,0.8482001935548312,6213232822.0,14.95,15.06,14.88,15.03,9322388.0,139743586.0,14.95,0.5351170568561825,10.0,16.45,False,False,True,93.08213870592793
26,002736.SZ,国信证券,0.14435146443514668,8.171603677221672,0.7346915785956619,0.23746794597645798,0.7825004436746429,0.6234352738670323,9612429377.0,10.15,10.21,10.1,10.12,14230807.0,144381476.0,10.14,-0.19723865877713243,10.0,11.15,False,False,True,92.83223556760947
27,600372.SH,中航机载,0.14110429447852765,14.354527938342954,0.8299345653099088,0.4738578007193295,0.6976641361807447,3.0373938793137047,4838896630.0,11.3,11.8,11.27,11.78,69645890.0,814578222.0,11.3,4.247787610619458,10.0,12.43,False,False,True,92.81867493219683
28,601390.SH,中国中铁,0.1304347826086956,14.814814814814836,0.9668204424691134,0.4088902719295775,0.6924655243819698,1.665667385053513,20323920329.0,4.35,4.44,4.34,4.42,138421179.0,609721245.0,4.35,1.6091954022988464,10.0,4.79,False,False,True,92.80123982952345
29,600779.SH,水井坊,0.05846007604562739,18.244803695150114,1.0261363938947188,0.5030279309059984,0.7225327537421536,0.6039076535901476,487503198.0,27.21,27.4,27.14,27.32,1480949.0,40412655.0,27.21,0.4042631385519968,10.0,29.93,False,False,True,92.76443239054629
30,300360.SZ,炬华科技,0.025751072961373418,15.605381165919274,0.8585975416566404,0.876893048273991,0.7792616703887503,0.8934412298249819,500308887.00000006,11.41,11.52,11.32,11.47,3919682.0,44925172.0,11.39,0.7023705004389758,20.0,13.67,False,False,True,92.73149941882991
