rank,pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score,launch_detected,launch_type,t_start,t_detect,data_quality_valid,data_quality_reason,negative_remaining_cnt,negative_remaining_qty,orphan_cancel_cnt,orphan_cancel_qty,unknown_link_ratio_pct,pre_cutoff_sell_qty,fixed_1320_gross_sell_qty,fixed_1320_gross_sell_float_ratio_pct,active_sell_qty_at_cutoff,persistent_sell_orders,persistent_sell_qty,persistent_sell_share_pct,sell_lifetime_mean_seconds,sell_lifetime_median_seconds,above_market_sell_share_pct,above_market_sell_distance_bps,sell_wall_refill_ratio_pct,large_sell_cancel_ratio_pct,sell_cancel_ratio_pct,sell_fill_ratio_pct,cancel_to_trade_qty_ratio_pct,gross_sell_float_ratio_pct,active_sell_float_ratio_pct,persistent_sell_float_ratio_pct,max_aggressive_buy_3m,max_aggressive_buy_3m_float_pct,max_aggressive_buy_3m_volume_pct,max_aggressive_buy_3m_prelaunch_sell_pct,launch_buy_qty,launch_absorption_ratio_pct,churn_proxy_pct,delta_qty,delta_ratio_pct,price_change_from_first_trade_pct,bullish_cvd_divergence,large_order_threshold_qty,large_order_net_flow_pct,buy_imbalance_price_levels,stacked_buy_imbalance_levels,bullish_absorption_ratio_pct,buy_refill_float_ratio_pct,sell_refill_float_ratio_pct,median_order_book_imbalance_pct,aggressive_buy_3m_event_volume_pct,meets_10pct_gross_sell_proxy,forward_3d_pct,forward_1w_pct,forward_2w_pct,forward_3w_pct,lv2_score,lv2_score_v2,lv2_score_used,score,signal_quality,signal_date,lv2_model_score,gross_sell_float_ratio_pct_rank,active_sell_float_ratio_pct_rank,persistent_sell_float_ratio_pct_rank,persistent_sell_share_pct_rank,sell_cancel_ratio_pct_rank,sell_lifetime_mean_seconds_rank,sell_lifetime_median_seconds_rank,above_market_sell_share_pct_rank,above_market_sell_distance_bps_rank,sell_wall_refill_ratio_pct_rank,large_sell_cancel_ratio_pct_rank,aggressive_buy_3m_event_volume_pct_rank,max_aggressive_buy_3m_float_pct_rank,max_aggressive_buy_3m_volume_pct_rank,max_aggressive_buy_3m_prelaunch_sell_pct_rank,launch_absorption_ratio_pct_rank,churn_proxy_pct_rank,delta_ratio_pct_rank,large_order_net_flow_pct_rank,stacked_buy_imbalance_levels_rank,bullish_absorption_ratio_pct_rank,buy_refill_float_ratio_pct_rank,median_order_book_imbalance_pct_rank,3d_rank,1w_rank,target_rank,lv2_score_v3_fitted,lv2_score_v3_holdout,lv2_score_v4_fitted,lv2_score_v4_holdout
1,80,003039.SZ,顺控发展,0.160737812911726,14.471243042671622,0.9939441937374884,0.5108825039201589,0.854182557840443,4.666372712028545,617518730.0,12.0,13.2,11.93,12.52,14721450.0,185659885.0,12.0,4.333333333333322,10.0,13.2,True,False,True,89.36289697908597,71.42857142857143,True,CONTINUOUS_TRIGGER,95600000,95859999,True,,0,0,0,0,0.0,2194500,18212349,2.9492788016324623,903500,6,89500,4.078377762588289,1117.99379823338,1205.8700000000026,67.31054910002278,312.9038058667033,6.64524948735475,7.896182367481461,20.346320346320347,38.48257006151743,6.1277931182050684,0.3553738361911711,0.1463113515601381,0.0144934875092776,2669800,0.4323431614778713,18.135441821287984,121.65869218500798,1168444,129.32418372993914,0.0,753908,5.121153147278291,4.333333333333322,False,2000,16.13699737457927,12,2,5.494595971145102,2.225778641564443,2.245514561153473,14.29263565891473,18.135441821287984,False,2.635782747603832,6.230031948881809,1.5175718849840258,,63.57142857142857,,legacy,76.74901792630297,watch,20260901,,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.9285714285714286,0.5,0.5,0.7142857142857143,0.35714285714285715,0.7142857142857143,0.9285714285714286,0.8571428571428571,0.4642857142857143,0.7857142857142857,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.6428571428571429,0.8571428571428571,0.7714285714285714,87.5,,62.5,
2,633,002945.SZ,华林证券,0.2348130841121495,22.434367541766107,1.2575663599001108,0.5450886851851791,1.175178745429506,3.695524503335152,2700000000.0,14.54,16.04,14.46,16.04,54388492.0,856969748.0,14.58,10.013717421124824,10.0,16.04,True,False,True,75.97017815646785,69.28571428571429,True,CONTINUOUS_TRIGGER,94200000,94459999,True,,0,0,0,0,0.0,5768000,62169627,2.3025787777777778,1988300,0,0,0.0,572.9609306220095,480.7749999999978,67.42718446601941,273.9959143570319,13.212552011095704,11.488121697041535,14.152219140083217,51.376560332871016,3.4373080246460965,0.2136296296296296,0.0736407407407407,0.0,8131236,0.3011568888888888,14.950287645408515,140.97149791955616,1651600,83.06593572398532,0.0,-1640010,-3.01536214683062,10.316368638239348,False,3600,18.160481448906506,13,4,4.2142836515600575,7.1124370370370364,1.8772683703703703,100.0,14.950287645408515,False,-5.673316708229415,-6.3591022443890255,-14.276807980049869,,58.92857142857143,,legacy,68.6687230275534,watch,20260901,,0.5,0.5,0.32142857142857145,0.32142857142857145,0.5714285714285714,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.6428571428571429,0.42857142857142855,0.14285714285714285,0.42857142857142855,1.0,0.7142857142857143,0.4642857142857143,0.6428571428571429,0.9285714285714286,0.9642857142857143,0.7142857142857143,0.35714285714285715,0.7142857142857143,0.07142857142857142,0.07142857142857142,0.07142857142857142,62.5,,87.5,
3,320,600830.SH,香溢融通,0.2500000000000003,18.68421052631579,0.9586716572891592,0.9552111530088055,0.8096305411573798,3.416765452311325,454322747.0,8.39,9.23,8.38,9.23,14827879.0,133899067.0,8.39,10.011918951132293,10.0,9.23,True,False,True,81.93261037955074,61.07142857142858,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,8494329,1.8696684363902207,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2476000,0.5449870199873572,16.698274918482948,0.0,0,0.0,0.0,-2825383,-19.054532344106665,10.011918951132293,False,5200,16.09805421260856,6,2,3.051288764648709,12.594482749946923,0.7503954011794175,100.0,16.698274918482948,False,6.067172264355358,4.875406283856987,-10.18418201516794,,50.71428571428571,,legacy,66.83396038508354,invalid,20260901,,0.25,0.25,0.32142857142857145,0.32142857142857145,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.25,0.25,0.4642857142857143,0.42857142857142855,0.7857142857142857,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.6428571428571429,0.7,,,,
4,623,600967.SH,内蒙一机,0.0709030100334448,23.55289421157687,1.441242190260041,1.311471603054443,1.2602822458487752,3.069882601443468,1701794667.0,11.05,12.19,11.01,12.19,68515340.0,815818083.0,11.08,10.018050541516232,10.0,12.19,True,False,True,76.16189000774594,53.92857142857142,True,CONTINUOUS_TRIGGER,104700000,104959999,True,,0,0,0,0,0.0,25681897,31589694,1.8562576680116016,7873410,136,2298701,8.950666689458338,3087.100094938587,3182.6600000000035,72.7638577477357,251.01918633361933,15.922028656995238,29.945390330640336,29.39396961213574,39.94859881261886,21.483114584266826,1.509106680024635,0.4626533478260101,0.1350751089173556,12148142,0.7138429938445682,17.730543262282577,47.30235465082661,5100141,64.77677397722206,0.0,-21505386,-31.387695076752152,10.316742081447948,False,5000,0.23451974404564,31,4,2.999087121336924,17.798065822708327,0.6522147010582916,100.0,17.730543262282577,False,12.059064807219034,13.78178835110746,10.090237899917964,,58.03571428571428,,legacy,65.37106478919995,medium,20260901,,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.8571428571428571,1.0,0.9285714285714286,0.9285714285714286,1.0,0.7142857142857143,0.7142857142857143,1.0,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.7857142857142857,0.6428571428571429,0.4642857142857143,0.2857142857142857,0.2857142857142857,0.9642857142857143,0.5,0.7857142857142857,0.7142857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286,37.5,,37.5,
5,557,603585.SH,苏利股份,0.1754901960784313,22.15973003374576,1.2378048875096452,1.362386335151734,0.9350938246168004,3.9911090157955553,270796011.0,10.66,11.75,10.61,11.22,14724350.0,165473818.0,10.68,5.0561797752809,10.0,11.75,True,False,True,77.47869868319133,62.49999999999999,True,CONTINUOUS_TRIGGER,94700000,94959999,True,,0,0,0,0,0.0,3797880,11811352,4.361715653189589,494340,4,82280,2.166471821121257,459.2990454057919,285.75,70.6794316829389,190.14421160364515,20.35293374198237,22.53068325800412,27.751798371723176,59.23199258533708,50.80317297537752,1.402487424380856,0.1825506949583537,0.0303844948439805,1083852,0.4002466638993437,7.360949719342449,28.538342443679102,979620,198.16725330744023,0.0,-164772,-1.1190443041628324,5.253283302063805,False,2200,13.60752766675609,4,1,2.2429798076743546,1.7424303934816825,1.5011971502046977,2.761688911273399,7.360949719342449,False,-4.9910873440285215,-0.8021390374331583,-7.486631016042777,,46.78571428571429,,legacy,63.7404144074361,watch,20260901,,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.9285714285714286,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.5,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.5714285714285714,1.0,0.4642857142857143,0.7142857142857143,0.6428571428571429,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.1857142857142857,50.0,,25.0,
6,892,601933.SH,永辉超市,0.0923076923076922,26.52329749103941,1.6785775203988582,1.553896544474496,1.0626525152520088,3.2108765526127696,8925037165.0,3.1,3.4,3.09,3.28,445303125.0,1454914999.0,3.09,6.148867313915862,10.0,3.4,True,False,True,71.37877614252517,39.64285714285714,True,CONTINUOUS_TRIGGER,101900000,102159999,True,,0,0,0,0,0.0,289145356,479431077,5.371754404341464,75476525,655,27227239,9.416453847524355,1859.7818412637907,1980.1800000000003,72.03174032648133,246.20412024304483,38.97884253067512,25.62524926089864,24.538636200679637,49.35804813686857,35.32881225569661,3.239710386124762,0.8456718286393825,0.3050658333028913,72017729,0.8069179732093587,16.172742780549765,24.907102087435916,35477686,47.00492769109336,0.0,153498509,34.470566313676784,5.806451612903207,False,10200,-15.151521786423574,5,1,4.849967143768555,2.7024386402092926,4.089886845866149,17.416224418020388,16.172742780549765,False,-3.658536585365846,2.4390243902439046,-9.14634146341463,,62.142857142857146,,legacy,61.79902069270776,medium,20260901,,1.0,1.0,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.6428571428571429,1.0,0.9285714285714286,0.5,0.7142857142857143,0.5,0.5,0.5,0.4642857142857143,1.0,0.07142857142857142,0.2857142857142857,0.7857142857142857,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.5,0.44285714285714284,12.5,,12.5,
7,1047,600318.SH,新力金融,0.2068965517241378,21.76165803108807,1.5512021260108086,2.2969808169027988,0.9460432360580132,2.735637552428546,512727632.0,6.78,7.49,6.76,7.49,32218302.0,233738082.0,6.81,9.985315712187967,10.0,7.49,True,False,True,67.50387296669248,30.53571428571428,True,CONTINUOUS_TRIGGER,110500000,110759999,True,,0,0,0,0,0.0,13133095,16082474,3.1366505326165064,3169461,70,1738300,13.236026998967112,3890.5365091946737,4329.585000000003,68.67186295385818,245.6973840334637,9.752461243903284,16.87753839982618,20.28352037352962,55.583089896174506,28.432826782739824,2.561417442779834,0.6181568540858355,0.3390299042825919,5930618,1.156680005106493,18.40760571429245,45.15780933588008,5830818,183.9687568327864,0.0,-6008506,-18.64935650550423,10.47197640117994,False,5000,1.1703658374050874,15,3,2.9502855692267063,19.94717460439113,1.0086435130923468,68.64411449376395,18.40760571429245,False,-2.002670226969294,0.4005340453938411,-16.021361815754343,,67.14285714285714,,legacy,59.98388569215447,medium,20260901,,0.8571428571428571,0.8571428571428571,1.0,1.0,0.6428571428571429,1.0,1.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.7142857142857143,0.9285714285714286,0.4642857142857143,0.5,0.35714285714285715,0.7857142857142857,0.42857142857142855,0.8571428571428571,0.35714285714285715,0.5,0.35714285714285715,0.41428571428571426,75.0,,75.0,
8,1224,300413.SZ,芒果超媒,0.1442876649977241,23.09920347574221,2.4369579198173765,1.8907642501831203,1.2489346668578198,7.111332959040444,1021699958.0,20.38,20.38,19.66,20.38,137376286.0,2793793896.0,16.98,20.02355712603061,20.0,20.38,True,False,True,62.4903175832688,88.21428571428571,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,126652903,12.39629129944625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15994473,1.5654765251541685,11.642819489238484,0.0,0,0.0,73.09002660037571,-75656692,-55.072599647947975,0.0,False,8900,11.89351486762424,12,3,2.009660682676088,23.454899662431032,10.933421316632764,100.0,11.642819489238484,False,4.268891069676162,1.1776251226693013,-17.909715407262016,,40.35714285714285,,legacy,59.8885000553281,invalid,20260901,,0.25,0.25,0.32142857142857145,0.32142857142857145,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2857142857142857,1.0,0.2857142857142857,0.25,0.25,0.9285714285714286,0.14285714285714285,0.5714285714285714,0.7857142857142857,0.14285714285714285,1.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.5428571428571429,,,,
9,1194,000158.SZ,常山北明,0.0482425913163335,36.15771812080537,1.6006251433654506,2.254392004313444,1.2362563943439164,2.6247417473958947,1590643645.0,12.63,13.88,12.61,13.88,94121515.0,1266982945.0,12.62,9.984152139461177,10.0,13.88,True,False,True,63.55925639039505,24.64285714285714,True,CONTINUOUS_TRIGGER,102300000,102559999,True,,0,0,0,0,0.0,51333112,103360645,6.498039037524335,13381451,136,2685005,5.230551773288165,1882.2465165648955,2074.019999999997,58.58379869897621,299.48888526974696,17.661724853151313,21.67698214983628,23.410842498697527,50.52128341644279,24.68507545803953,3.227191216672544,0.8412601428398503,0.1687999074110656,17308510,1.0881450445803655,18.389536122532665,33.718022004978,7599179,56.78890129329024,0.0,12768053,13.565498812890976,9.897070467141722,False,3700,4.974413129665411,20,3,3.439312760900083,20.97999140467443,5.311707576086283,28.821888774375363,18.389536122532665,False,-1.9452449567723409,-1.0806916426512991,-8.861671469740639,,71.42857142857143,,legacy,58.5302368042492,medium,20260901,,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.5,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.6428571428571429,0.5714285714285714,0.4642857142857143,0.8571428571428571,0.42857142857142855,0.7857142857142857,0.6428571428571429,0.9285714285714286,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.3142857142857143,25.0,,50.0,
10,836,605300.SH,佳禾食品,0.2445193929173692,33.01204819277106,1.219153322861824,0.6465998397437795,0.9673835157901012,2.775030235108558,454398597.0,9.88,10.73,9.69,10.73,8153429.0,85592985.0,9.75,10.051282051282053,10.0,10.73,True,False,True,72.23857474825716,54.642857142857146,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,3200252,0.7042829843948659,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507250,0.3317021685258416,18.486087264634303,0.0,0,0.0,0.0,-3372725,-41.36572477665532,8.603238866396756,False,4000,10.479639915917586,14,1,2.640967663628301,6.213839388240893,0.2106298316761748,100.0,18.486087264634303,False,-3.821062441752099,5.125815470643036,-9.59925442684064,,42.5,,legacy,58.31093006528715,invalid,20260901,,0.25,0.25,0.32142857142857145,0.32142857142857145,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.9285714285714286,0.21428571428571427,0.9285714285714286,0.25,0.25,0.4642857142857143,0.21428571428571427,0.5,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.7857142857142857,0.5857142857142857,,,,
