rank,pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score,launch_detected,launch_type,t_start,t_detect,data_quality_valid,data_quality_reason,negative_remaining_cnt,negative_remaining_qty,orphan_cancel_cnt,orphan_cancel_qty,unknown_link_ratio_pct,pre_cutoff_sell_qty,fixed_1320_gross_sell_qty,fixed_1320_gross_sell_float_ratio_pct,active_sell_qty_at_cutoff,persistent_sell_orders,persistent_sell_qty,persistent_sell_share_pct,sell_lifetime_mean_seconds,sell_lifetime_median_seconds,above_market_sell_share_pct,above_market_sell_distance_bps,sell_wall_refill_ratio_pct,large_sell_cancel_ratio_pct,sell_cancel_ratio_pct,sell_fill_ratio_pct,cancel_to_trade_qty_ratio_pct,gross_sell_float_ratio_pct,active_sell_float_ratio_pct,persistent_sell_float_ratio_pct,max_aggressive_buy_3m,max_aggressive_buy_3m_float_pct,max_aggressive_buy_3m_volume_pct,max_aggressive_buy_3m_prelaunch_sell_pct,launch_buy_qty,launch_absorption_ratio_pct,churn_proxy_pct,delta_qty,delta_ratio_pct,price_change_from_first_trade_pct,bullish_cvd_divergence,large_order_threshold_qty,large_order_net_flow_pct,buy_imbalance_price_levels,stacked_buy_imbalance_levels,bullish_absorption_ratio_pct,buy_refill_float_ratio_pct,sell_refill_float_ratio_pct,median_order_book_imbalance_pct,aggressive_buy_3m_event_volume_pct,meets_10pct_gross_sell_proxy,forward_3d_pct,forward_1w_pct,forward_2w_pct,forward_3w_pct,lv2_score,lv2_score_v2,lv2_score_used,score,signal_quality
1,152,000789.SZ,万年青,0.18018018018018012,16.621983914209103,1.050804270970589,0.439791415370622,0.8501690648223231,9.771615974533571,797420215.0,4.15,4.54,4.13,4.38,34268917.0,151724246.0,4.13,6.0532687651331685,10.0,4.54,True,False,True,86.91592406044168,80.3125,True,CONTINUOUS_TRIGGER,101600000,101859999,True,,0,0,0,0,0.0,5813900,43170064,5.413715778449384,2410500,25,800100,13.761846608988805,1905.0612869303957,1925.9000000000015,61.86208913122001,310.41355444391814,4.456561000361203,10.162233882154274,11.422625088150811,47.116393470819936,5.031089835724893,0.7290886148402947,0.30228729528759185,0.10033605681792253,4428912,0.5554050319629782,12.923991732799726,76.17798723748258,2677609,111.08106202032772,2.7249832485410073,-5379325,-15.697388394269945,5.542168674698789,False,5400,10.790600706757088,6,4,3.576955568420915,12.386618515809761,4.055379132820203,7.238403146063168,12.923991732799726,False,-1.5981735159817378,-7.305936073059371,,,63.90625,,legacy,77.54185332719877,medium
2,172,603888.SH,新华网,0.13457249070631974,17.202141900937097,1.138178753406341,0.9764603235287224,0.7936301521408007,7.5836888967804486,742211985.0,16.95,18.43,16.86,17.72,54962069.0,982198388.0,16.75,5.791044776119403,10.0,18.43,True,False,True,86.08291359938009,70.625,True,CONTINUOUS_TRIGGER,100200000,100459999,True,,0,0,0,0,0.0,17684054,35688584,4.808408476454338,4047468,8,114500,0.6474759690283687,1117.502962705045,991.1800000000003,69.19451840624328,234.39601486300853,16.53107370063448,25.653470945526724,25.19591378764168,51.91641577208485,18.793015233833355,2.3826149883580765,0.5453250663959569,0.015426859484086612,7061105,0.9513596038199248,12.84723287982481,39.929220980664276,3844080,94.9749324763037,0.0,-4737725,-8.619990270016945,4.542772861356936,False,2500,7.9111104787558135,11,2,6.97287498177967,13.385575685631107,2.071194121178197,32.41878250167506,12.84723287982481,False,-5.135440180586903,-1.9187358916478603,,,60.78125,,legacy,74.13574861972104,watch
3,263,605077.SH,华康股份,0.15725359911406422,23.67101303911734,1.0428042839837115,1.1954986870892659,0.667513002058568,5.666712476191816,299429678.0,11.54,12.53,11.54,12.53,20285004.0,245906659.0,11.39,10.008779631255482,10.0,12.53,True,False,True,83.1499418829911,72.1875,True,CONTINUOUS_TRIGGER,110200000,110459999,True,,0,0,0,0,0.0,16778270,17507728,5.84702495655758,1301161,19,614500,3.6624753326773263,3559.7707952088817,4064.4000000000015,56.92989801689924,157.85414042236337,18.949879814784243,34.64718529994485,36.69728166253135,55.547681614373836,64.13616679592471,5.603409158393444,0.43454643797866954,0.20522347821514206,1549619,0.5175235168238734,7.639234382206678,9.235868775505459,1534919,117.96534018465049,0.0,1416714,6.984045948425743,8.578856152512992,False,2400,0.39880199185565846,9,3,4.715848654011571,7.994715874489902,2.564257842203604,100.0,7.639234382206678,False,-2.2346368715083775,-9.098164405426967,,,60.78125,,legacy,73.128411347346,medium
4,458,002095.SZ,生 意 宝,0.2604395604395604,21.34831460674156,1.023811704089802,0.9188347954119807,0.818568875203511,6.167549981418502,251708415.0,14.95,16.31,14.75,16.31,14264214.0,230197386.0,14.83,9.97977073499663,10.0,16.31,True,False,True,79.09143742735374,78.125,True,CONTINUOUS_TRIGGER,94600000,94859999,True,,0,0,0,0,0.0,1160100,14710309,5.844186417049267,480900,2,32800,2.827342470476683,728.6142770270271,731.9500000000007,68.67511421429188,360.1011665895411,12.361003361779158,25.47452547452547,23.325575381432635,35.2211016291699,8.31241034381565,0.46089043149391723,0.1910543991944012,0.013030950911990764,2089089,0.8299639088347524,14.645665018766543,180.07835531419704,634000,131.83614056976504,0.0,-7934382,-55.62438981916564,9.096989966555192,False,4000,5.934431438002823,13,2,2.091123240406736,35.03561849531332,5.374243844807493,100.0,14.645665018766543,False,-7.541385652973631,-8.890251379521763,,,45.46875,,legacy,67.13020934230919,watch
5,191,002093.SZ,国脉科技,0.1210268948655257,20.833333333333325,1.1001162287310167,0.9410290521091753,0.7840832517654007,2.8758021800051066,1007500000.0,7.0,7.69,6.98,7.69,27265100.0,206173399.0,6.99,10.014306151645203,10.0,7.69,True,False,True,85.67706315381633,52.81249999999999,True,CONTINUOUS_TRIGGER,93800000,94059999,True,,0,0,0,0,0.0,6114279,27411900,2.7207841191066997,2200800,0,0,0.0,395.03280701754386,266.1850000000013,67.0626904660386,320.99547064377003,13.496276502920459,11.139028475711893,15.0434744636285,48.96209348641107,8.130617529369047,0.6068763275434244,0.21844168734491315,0.0,6697400,0.6647543424317618,24.564003066190846,109.53703617384814,2927300,133.0107233733188,0.0,-9276542,-34.023502572886215,9.857142857142854,False,5700,4.1620203116805,12,2,2.669830764583595,15.919890818858562,2.4107196029776676,100.0,24.564003066190846,False,-5.071521456436933,-2.4707412223667125,,,49.21875,,legacy,66.34374091921735,watch
6,607,000928.SZ,中钢国际,0.26829268292682934,24.15966386554622,0.9918597996158661,1.0694133695181007,0.8435856349383741,5.865737542718827,1434627071.0,5.44,5.96,5.4,5.96,89992695.0,528322477.0,5.42,9.963099630996307,10.0,5.96,True,False,True,76.3289422704378,70.0,True,CONTINUOUS_TRIGGER,105900000,110159999,True,,0,0,0,0,0.0,22092487,74908950,5.2214928544311565,2863309,53,1412100,6.391765671289068,3366.158294855268,3734.5800000000017,58.507260862029696,200.25430158048485,13.555558502761594,26.89105450327386,25.54533584199914,61.49410883437433,15.051023863659156,1.539946334945467,0.1995855966947664,0.09842976119331852,6483404,0.4519226028183599,7.204366976675162,29.3466462150685,3352800,117.09529079816394,0.0,-25404737,-28.229776872445033,9.558823529411754,False,10000,3.654447730451899,6,4,1.7204888926817714,19.572131718125092,5.7439182395018396,100.0,7.204366976675162,False,-5.033557046979864,-8.389261744966447,,,50.15625,,legacy,65.90271152169701,medium
7,647,002312.SZ,川发龙蟒,0.1024390243902439,37.913486005089055,1.1737444807315136,1.152164396560622,0.765410405578254,2.1286627059958834,1884636265.0,8.56,9.34,8.52,9.34,46222012.0,421160180.0,8.49,10.011778563015316,10.0,9.34,True,False,True,75.79329717163891,40.9375,True,CONTINUOUS_TRIGGER,94800000,95059999,True,,0,0,0,0,0.0,19213194,47934011,2.5434091389512763,5323918,21,587100,3.0557126524616365,770.3687695154389,751.7799999999988,60.59126868754877,269.9790341693826,14.040351645853367,16.505516117708517,16.32277277791501,55.96752939672602,16.17968512491408,1.0194643049596628,0.28249047834171864,0.031151899753982498,11355152,0.6025115939281791,24.566546345927133,59.10080333337602,6889652,129.40943117455978,0.0,-9097508,-19.68219816999745,9.112149532710268,False,5600,-2.7503129894042693,13,3,6.004390493626842,9.034109295355197,2.1299496749310403,100.0,24.566546345927133,False,-3.426124197002145,-8.886509635974305,,,57.96875,,legacy,62.58354622723751,watch
8,463,002383.SZ,合众思壮,0.0990312163616792,20.55016181229774,1.4065026153194686,1.3919220993351296,0.8883909177775102,3.5813456703336723,740360304.9999999,7.08,7.81,7.04,7.81,36906622.0,282833517.0,7.1,10.000000000000009,10.0,7.81,True,False,True,78.98295234405269,52.1875,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,11358000,1.5341179049300868,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4146600,0.5600786498136202,11.23538209484466,0.0,0,0.0,0.0,-18192422,-49.29311059679209,10.310734463276837,False,6100,11.02187027574618,12,3,7.642600840769578,27.223893371754993,4.495125113440544,-5.980289971627398,11.23538209484466,False,5.5057618437900135,-4.99359795134443,,,46.09375,,legacy,62.11264105482371,invalid
9,1186,603077.SH,和邦生物,0.253012048192771,23.188405797101442,1.581542334325226,2.0033706649349656,0.9891865812045421,3.352934716272196,8831707728.0,2.31,2.53,2.3,2.53,593240866.0,1458194906.0,2.3,10.000000000000009,10.0,2.53,True,False,True,64.1747384734599,42.8125,True,CONTINUOUS_TRIGGER,102200000,102459999,True,,0,0,0,0,0.0,356871791,457267632,5.177567533743005,95658171,592,19220700,5.385883806097748,1935.8872660974741,1866.574999999997,76.77764953969142,217.30364124424784,37.429039046686654,26.34104058159947,25.14465874384563,48.05070905702379,35.46680986741058,4.040801643249306,1.0831220183694015,0.21763288134029607,78982307,0.8943039039844457,13.313699633093046,22.131843701818394,29360000,30.692621124859265,0.0,84478246,14.24012586482874,9.523809523809511,False,20000,-20.60653471569843,3,2,2.561598177161679,10.833419135538676,3.0698099659758125,100.0,13.313699633093046,False,-6.324110671936745,-11.857707509881422,,,62.65625,,legacy,59.370819813056954,medium
10,1195,002790.SZ,瑞尔特,0.14819427148194267,31.782945736434097,1.4879281780735476,1.9986898608540502,1.1914967643090715,2.326722527218657,260697500.0,6.36,6.99,6.32,6.99,12123468.0,82816843.0,6.35,10.078740157480315,10.0,6.99,True,False,True,63.901588531576905,40.3125,False,NONE,0,0,False,launch_not_detected,0,0,0,0,0.0,0,12727488,4.882090545555673,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778800,0.6823233824643504,14.672369325344862,0.0,0,0.0,0.0,-6353068,-52.403058266825965,9.905660377358494,False,4100,13.259407291708941,13,3,13.22650522803625,28.543503485840873,4.084913741021682,100.0,14.672369325344862,False,33.19027181688126,7.868383404864088,,,54.21875000000001,,legacy,55.79477733920961,invalid
