score,horizon,spearman,top_count,top_mean_pct,top_positive_rate_pct,bottom_count,bottom_mean_pct,bottom_positive_rate_pct
lv2_score,3d,0.2142857142857143,4,-2.2654634759994687,50.0,4,-2.384694385195488,75.0
lv2_score,1w,0.14285714285714288,4,0.2991594655406492,50.0,4,-0.7189752130144831,25.0
lv2_score_v2_baseline,3d,-0.261904761904762,4,-4.582737965326697,50.0,4,-0.06741989586825925,75.0
lv2_score_v2_baseline,1w,-0.4047619047619048,4,-2.958021604767061,0.0,4,2.538205857293227,75.0
lv2_score_v3,3d,0.3571428571428572,4,-1.371092095479673,75.0,4,-3.2790657657152837,50.0
lv2_score_v3,1w,0.11904761904761905,4,0.7342468304716547,50.0,4,-1.154062577945489,25.0
lv2_score_v4,3d,0.1077863635721933,4,-2.384694385195488,75.0,4,-2.2654634759994687,50.0
lv2_score_v4,1w,-0.22754898976351917,4,-0.7189752130144833,25.0,4,0.2991594655406492,50.0
