pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score
319,002059.SZ,云南旅游,0.18427518427518427,21.144278606965194,1.0986197425343351,0.9200942894959874,0.981654524203235,7.794259098689119,990393246.0,4.76,5.25,4.73,5.25,71025589.0,368884408.0,4.77,10.062893081761025,10.0,5.25,True,False,True,81.58597986057319,94.5
438,003039.SZ,顺控发展,0.2292490118577075,22.44897959183674,1.1901358399291335,0.6002138024218254,1.0035422177697755,5.3567707482827185,617518730.0,12.46,13.77,12.18,13.77,19854510.0,258174121.0,12.52,9.984025559105426,10.0,13.77,True,False,True,79.09759876065065,77.5
1017,000852.SZ,石化机械,0.150313152400835,23.3820459290188,1.8405053824456743,1.7360742129055564,1.1781822767445824,3.526911090681044,950258873.0,5.82,6.06,5.68,6.06,58184155.0,348293126.0,5.51,9.981851179673317,10.0,6.06,True,False,True,67.49806351665376,45.0
1113,600967.SH,内蒙一机,0.18968531468531466,23.55289421157687,1.9249330133771612,1.4490343505113312,1.3891852549105854,2.636443422032175,1701794667.0,12.5,13.41,12.5,13.41,65013612.0,845514047.0,12.19,10.008203445447084,10.0,13.41,True,False,True,65.27885360185903,53.5
1118,000635.SZ,英 力 特,0.30393996247654786,31.96428571428571,1.7325653881829506,1.1955208003266593,0.7284956466667359,2.353008404783939,366819816.0,7.94,7.94,7.94,7.94,10318900.0,81932066.0,7.22,9.972299168975084,10.0,7.94,True,False,True,65.04647560030985,36.5
1227,600657.SH,信达地产,0.2409090909090908,32.14285714285714,1.8886320807453605,1.028387149839381,1.2998456474032507,4.240873260083851,2851878595.0,2.83,3.05,2.69,3.05,124377828.0,363209889.0,2.77,10.10830324909746,10.0,3.05,True,False,True,61.357474825716494,77.5
1247,001278.SZ,一彬科技,0.27064538514920183,38.625592417061604,1.445394577129892,2.248449753748092,0.7451618646371297,1.842991511245598,85348376.00000001,16.45,18.22,16.31,18.22,3536729.0,61707944.0,16.56,10.024154589371982,10.0,18.22,True,False,True,60.602246320681644,38.0
1328,000985.SZ,大庆华科,0.31763698630136994,34.58646616541352,1.5896212102091622,1.598680456188117,1.198994156952359,4.759063157539969,129639500.0,17.21,18.71,16.72,17.5,9863260.0,176264348.0,17.01,2.8806584362139898,10.0,18.71,True,False,True,56.71862896979085,55.00000000000001
1371,002265.SZ,建设工业,0.20371412492965665,37.30308758664147,2.260356599916772,1.630235655438398,1.6444236381137738,1.060620947171521,1033040407.0,19.3,21.44,19.26,21.44,17861910.0,377639477.0,19.49,10.005130836326327,10.0,21.44,True,False,True,53.43532145623547,24.0
1393,603530.SH,神马电力,0.3816025067144137,38.361758347345656,2.3919320793858185,1.1055178198145468,1.149330477254224,1.7013395425026254,427464774.00000006,45.42,50.39,44.63,50.39,8040019.0,393086567.0,45.81,9.997817070508619,10.0,50.39,True,False,True,49.54105344694035,33.5
