pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score
152,000789.SZ,万年青,0.18018018018018012,16.621983914209103,1.050804270970589,0.439791415370622,0.8501690648223231,9.771615974533571,797420215.0,4.15,4.54,4.13,4.38,34268917.0,151724246.0,4.13,6.0532687651331685,10.0,4.54,True,False,True,86.91592406044168,80.3125
172,603888.SH,新华网,0.13457249070631974,17.202141900937097,1.138178753406341,0.9764603235287224,0.7936301521408007,7.5836888967804486,742211985.0,16.95,18.43,16.86,17.72,54962069.0,982198388.0,16.75,5.791044776119403,10.0,18.43,True,False,True,86.08291359938009,70.625
191,002093.SZ,国脉科技,0.1210268948655257,20.833333333333325,1.1001162287310167,0.9410290521091753,0.7840832517654007,2.8758021800051066,1007500000.0,7.0,7.69,6.98,7.69,27265100.0,206173399.0,6.99,10.014306151645203,10.0,7.69,True,False,True,85.67706315381633,52.81249999999999
263,605077.SH,华康股份,0.15725359911406422,23.67101303911734,1.0428042839837115,1.1954986870892659,0.667513002058568,5.666712476191816,299429678.0,11.54,12.53,11.54,12.53,20285004.0,245906659.0,11.39,10.008779631255482,10.0,12.53,True,False,True,83.1499418829911,72.1875
458,002095.SZ,生 意 宝,0.2604395604395604,21.34831460674156,1.023811704089802,0.9188347954119807,0.818568875203511,6.167549981418502,251708415.0,14.95,16.31,14.75,16.31,14264214.0,230197386.0,14.83,9.97977073499663,10.0,16.31,True,False,True,79.09143742735374,78.125
463,002383.SZ,合众思壮,0.0990312163616792,20.55016181229774,1.4065026153194686,1.3919220993351296,0.8883909177775102,3.5813456703336723,740360304.9999999,7.08,7.81,7.04,7.81,36906622.0,282833517.0,7.1,10.000000000000009,10.0,7.81,True,False,True,78.98295234405269,52.1875
519,600880.SH,博瑞传播,0.1465116279069768,18.9801699716714,1.4278028938188647,1.4845017156090812,0.813229654651144,0.9062812242857577,1093030175.0,4.58,4.58,4.58,4.58,14705366.0,67350576.0,4.16,10.096153846153854,10.0,4.58,True,False,True,78.06664083688491,34.375
607,000928.SZ,中钢国际,0.26829268292682934,24.15966386554622,0.9918597996158661,1.0694133695181007,0.8435856349383741,5.865737542718827,1434627071.0,5.44,5.96,5.4,5.96,89992695.0,528322477.0,5.42,9.963099630996307,10.0,5.96,True,False,True,76.3289422704378,70.0
647,002312.SZ,川发龙蟒,0.1024390243902439,37.913486005089055,1.1737444807315136,1.152164396560622,0.765410405578254,2.1286627059958834,1884636265.0,8.56,9.34,8.52,9.34,46222012.0,421160180.0,8.49,10.011778563015316,10.0,9.34,True,False,True,75.79329717163891,40.9375
1186,603077.SH,和邦生物,0.253012048192771,23.188405797101442,1.581542334325226,2.0033706649349656,0.9891865812045421,3.352934716272196,8831707728.0,2.31,2.53,2.3,2.53,593240866.0,1458194906.0,2.3,10.000000000000009,10.0,2.53,True,False,True,64.1747384734599,42.8125
1195,002790.SZ,瑞尔特,0.14819427148194267,31.782945736434097,1.4879281780735476,1.9986898608540502,1.1914967643090715,2.326722527218657,260697500.0,6.36,6.99,6.32,6.99,12123468.0,82816843.0,6.35,10.078740157480315,10.0,6.99,True,False,True,63.901588531576905,40.3125
1324,600097.SH,开创国际,0.26485148514851475,28.915662650602414,1.467538069484648,1.8252876476085096,1.3106785432220185,3.1630307550829135,240936559.00000003,9.62,10.57,9.58,9.9,13910330.0,138905128.0,9.61,3.017689906347565,10.0,10.57,True,False,True,60.071677644323906,26.875
1424,001368.SZ,通达创智,0.3597560975609756,32.48136315228967,1.7069868375803896,1.6918070559545986,1.059087865624095,4.221221677566585,108080599.0,24.23,26.5,24.04,25.54,7718568.0,198752738.0,24.09,6.019095060190938,10.0,26.5,True,False,True,54.48275862068965,43.125
1456,000930.SZ,中粮科技,0.28092783505154634,28.028503562945374,2.4943037637774284,1.7234142469589608,1.6390938649213216,1.2609016642138602,1856302967.0,5.33,5.83,5.33,5.83,40338501.0,232696012.0,5.3,10.000000000000009,10.0,5.83,True,False,True,51.39868268113135,26.875
1463,605300.SH,佳禾食品,0.37564322469982836,36.14457831325302,1.9407784292877672,1.2529756006266854,1.7506078158202454,4.9502354310466705,454398597.0,10.48,11.54,10.43,11.28,28184183.0,315655874.0,10.49,7.530981887511912,10.0,11.54,True,False,True,49.79852770244091,54.37499999999999
1467,002483.SZ,润邦股份,0.3798219584569732,31.645569620253156,1.848628925119779,2.0978857823092407,1.854096084574864,5.252749532791437,885250799.0,6.18,6.62,6.15,6.41,97551704.0,619360597.0,6.02,6.478405315614633,10.0,6.62,True,False,True,48.24680356450989,49.0625
