pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score,trigger_score
700,600185.SH,珠免集团,0.13647642679900743,20.705882352941174,1.7095250034629124,1.1825668100930105,1.0441446938458379,2.518107153078389,1885005795.0,4.88,5.28,4.87,5.28,56132267.0,289260749.0,4.8,10.000000000000009,10.0,5.28,True,False,True,74.57696030977735,41.666666666666664
703,002761.SZ,浙江建投,0.29464285714285715,18.7793427230047,1.3009688462196556,0.9743601467520364,0.9736203471403535,4.796598521385367,1081789109.0,7.39,8.12,7.35,7.7,50558652.0,394863102.0,7.38,4.336043360433606,10.0,8.12,True,False,True,74.50338818973863,78.88888888888889
1083,002868.SZ,绿康生化,0.05617173524150269,33.12469908521906,1.7902911529725891,1.6315360683451856,1.0867117703586595,4.59377796845554,107433221.0,22.27,24.57,21.95,23.48,8052028.0,190905113.0,22.34,5.102954341987465,10.0,24.57,True,False,True,66.76089060987415,69.44444444444444
1097,002670.SZ,国盛证券,0.12283236994219648,25.428571428571423,1.6569204009043985,1.8722697280198264,1.61389868608262,3.539557212927335,1623350634.0000002,12.26,13.42,12.26,12.69,107579541.0,1397237253.0,12.2,4.016393442622945,10.0,13.42,True,False,True,66.4704743465634,31.11111111111111
1242,600865.SH,百大集团,0.11426726920593933,30.74901445466489,1.8880615330998964,2.0773877007906787,1.1608872548542717,3.1379347468200702,376240316.0,9.38,10.32,9.31,10.32,24526004.0,246986051.0,9.38,10.021321961620465,10.0,10.32,True,False,True,62.46660212971926,39.44444444444444
1307,002059.SZ,云南旅游,0.30221130221130227,30.597014925373145,1.6017643966223865,1.2478721154364525,1.3172155215151786,2.025713551630203,990393246.0,5.78,5.78,5.78,5.78,25035472.0,144705028.0,5.25,10.095238095238091,10.0,5.78,True,False,True,60.135527589545,37.22222222222222
1320,001299.SZ,美能能源,0.33724832214765105,33.25635103926097,1.7844305910453957,1.588736360578834,0.7492881213747501,4.108748317547212,282337678.0,10.33,11.36,10.09,11.36,18430207.0,199814092.0,10.33,9.970958373668925,10.0,11.36,True,False,True,59.34559535333979,60.55555555555555
1425,601999.SH,出版传媒,0.33633633633633636,25.14071294559099,2.2559859367776633,1.8014165713857297,1.4898506969524714,4.5876552092951695,550914700.0,6.49,7.1,6.43,6.73,45529123.0,315542939.0,6.45,4.341085271317824,10.0,7.1,True,False,True,52.44530493707648,58.333333333333336
1449,600657.SH,信达地产,0.368181818181818,36.160714285714256,2.3940472432002333,1.218711659428121,1.5371051472350261,3.870811919088241,2851878595.0,3.02,3.36,2.84,3.36,134534624.0,414701309.0,3.05,10.163934426229515,10.0,3.36,True,False,True,47.78509196515005,68.33333333333334
