pool_rank,code,name,bottom_percentile,range_60d_pct,mean_abs_return_20d_pct,mean_turnover_20d_pct,recent_volume_ratio,event_volume_ratio,outstanding_share,event_open,event_high,event_low,event_close,event_volume,event_amount,previous_close,event_gain_pct,limit_up_rate_pct,limit_up_price,hit_limit_up,is_st,passes_dormant_filter,dormancy_score
1,600029.SH,南方航空,0.008547008547008616,14.747474747474731,0.6302131651067434,0.40264464588255205,0.537574349527865,0.698050724453438,13476973184.0,4.98,5.01,4.97,4.99,37879240.0,189044128.0,4.98,0.20080321285140812,10.0,5.48,False,False,True,98.58083252662148
2,601021.SH,春秋航空,0.02672864613596751,14.209302325581397,0.8495046423897545,0.42601735788801354,0.5637478169815788,0.9007554985757473,978333423.0,43.18,43.56,42.98,43.45,3754232.0,162620542.0,43.07,0.8822846528906414,10.0,47.38,False,False,True,97.84511132623429
3,601669.SH,中国电建,0.03200000000000003,14.348785871964665,0.553063994216042,0.610994815498141,0.48199440396813426,0.7234307744913369,13071525850.0,4.61,4.64,4.6,4.61,57777772.0,266946681.0,4.61,0.0,10.0,5.07,False,False,True,97.81994191674733
4,600905.SH,三峡能源,0.059405940594059445,17.17451523545708,0.4416572162441101,0.23921634275748854,0.5159737851185343,0.7166523656972055,28587650142.0,3.67,3.7,3.67,3.67,49009226.0,180460470.0,3.67,0.0,10.0,4.04,False,False,True,97.5624394966118
5,601727.SH,上海电气,0.04713114754098352,18.354430379746844,0.8260137092483705,0.3859179066994665,0.47868475090905566,0.5906375893705356,12615639635.999998,6.55,6.57,6.52,6.53,28755789.0,188219376.0,6.55,-0.3053435114503733,10.0,7.21,False,False,True,96.64278799612777
6,688425.SH,铁建重工,0.09183673469387765,11.688311688311682,0.7166067044885642,0.2600572841795865,0.7441142476298979,0.9534942615191881,5333497000.0,4.03,4.05,4.01,4.03,13225106.0,53309364.0,4.03,0.0,20.0,4.84,False,False,True,95.8567279767667
7,601111.SH,中国国航,0.0026809651474532644,17.832167832167833,0.924856501817704,0.48421145312212804,0.6574709882757003,0.874017167373292,11638109474.0,5.74,5.81,5.74,5.76,49253541.0,284358230.0,5.73,0.5235602094240788,10.0,6.3,False,False,True,95.8160696999032
8,001289.SZ,龙源电力,0.048689138576779006,21.504660452729695,0.7612123254904503,0.09118442745298298,0.5005145684249283,0.6941756606932509,5041934164.0,15.14,15.18,15.02,15.03,3191444.0,48094286.0,15.07,-0.2654280026542888,10.0,16.58,False,False,True,95.63794772507262
9,601881.SH,中国银河,0.12364760432766622,17.372515125324117,0.6771073376551294,0.32866049065578956,0.6405786743428379,1.1862947228580742,7243417622.999999,12.35,12.51,12.33,12.38,28241231.0,351086218.0,12.34,0.32414910858995505,10.0,13.57,False,False,True,94.34849951597289
10,601800.SH,中国交建,0.1087613293051358,16.636528028933096,0.8304289825685279,0.22404625959014296,0.7207064197377944,0.7231926465566306,11722873078.999998,5.9,5.97,5.89,5.93,18994408.0,112796451.0,5.89,0.679117147707986,10.0,6.48,False,False,True,94.22265246853824
11,600271.SH,航天信息,0.07853403141361263,13.38582677165354,0.9685824589826553,0.6333078789333625,0.7283894505895864,0.8308687697752953,1852884638.0,6.95,6.97,6.82,6.83,9749800.0,67161108.0,6.95,-1.726618705035976,10.0,7.65,False,False,True,94.1781219748306
12,600098.SH,广州发展,0.038793103448276176,20.683760683760678,0.7606085027916298,0.577800135195789,0.6748119435185039,1.357395852510962,3505864981.0000005,5.94,6.07,5.94,6.04,27496622.0,165660080.0,5.94,1.683501683501687,10.0,6.53,False,False,True,94.16069699903194
13,688819.SH,天能股份,0.03713027061044681,21.286889211417503,0.9838294972464873,0.22255433597366098,0.6643797581123508,0.5830481831640536,972100000.0,21.26,21.43,21.2,21.3,1261396.0,26845640.0,21.26,0.18814675446847673,20.0,25.51,False,False,True,94.08712487899322
14,601456.SH,国联民生,0.12203389830508458,13.411764705882367,0.6506828963522568,0.3715827566382895,0.7766457237795183,1.0663415409548151,4376981617.0,8.86,8.97,8.85,8.88,17343095.0,154392008.0,8.85,0.3389830508474745,10.0,9.74,False,False,True,93.94966118102613
15,603885.SH,吉祥航空,0.03614457831325286,21.356275303643724,0.9818602194349157,0.5224537679638269,0.5751056254593859,1.2110947536212502,2169005268.0,10.1,10.19,10.07,10.16,13724186.0,139192428.0,10.09,0.6937561942517378,10.0,11.1,False,False,True,93.90900290416263
16,605259.SH,绿田机械,0.13008130081300825,14.320388349514568,1.0597846361066563,0.452909583719848,0.5134312441915337,0.6775660542095088,172480000.0,17.94,18.1,17.81,17.81,529300.0,9507206.0,17.92,-0.6138392857143016,10.0,19.71,False,False,True,93.84123910939012
17,000157.SZ,中联重科,0.0030211480362537114,17.78115501519757,1.0008126161467603,0.6932879699084846,0.7171443004040217,0.7108364901611444,7070417363.0,6.59,6.63,6.57,6.59,34844034.0,229760138.0,6.59,0.0,10.0,7.25,False,False,True,93.81413359148112
18,002206.SZ,海 利 得,0.11160714285714289,11.834319526627212,0.6966613052005644,0.8246997188624758,0.6719380333106973,0.6829541691256292,1056970986.0,5.33,5.35,5.27,5.27,5953200.0,31588998.0,5.32,-0.9398496240601628,10.0,5.85,False,False,True,93.77153920619554
19,601618.SH,中国中冶,0.0684210526315789,15.416666666666679,1.0767724958815328,0.4314104208833525,0.7608544106486579,0.848011497874729,17852619170.0,2.53,2.56,2.53,2.54,65312200.0,166212123.0,2.53,0.39525691699606735,10.0,2.78,False,False,True,93.75217812197485
20,600528.SH,中铁工业,0.14950166112956814,14.528593508500776,0.5411585651748702,0.41085001578634844,0.6974248772576251,0.818906357729488,2221551588.0,6.9,6.97,6.9,6.92,7474359.0,51840824.0,6.92,0.0,10.0,7.61,False,False,True,93.70764762826718
21,301109.SZ,军信股份,0.1020036429872493,16.084484159220125,0.7681889832169542,0.6346396330077999,0.7176056797212738,0.9577870098522856,624288808.0,12.86,13.07,12.85,12.99,3794737.0,49219722.0,12.87,0.9324009324009452,20.0,15.44,False,False,True,93.64375605033881
