week_end,510050,510300,510500,512100,588000
2023-01-13,20735766800,18643987700,10121368600,3832217600,50551168200
2023-01-20,21123666800,20110987700,10686568600,5411217600,51761668200
2023-02-03,20831166800,19669987700,10381768600,5792217600,52414168200
2023-02-10,20888766800,18946387700,9297768600,5333217600,52949668200
2023-02-17,20517966800,18101287700,8696568600,4654217600,53768668200
2023-02-24,20787966800,17317387700,7842968600,3827217600,53795668200
2023-03-03,21488166800,17924887700,7530968600,3431217600,54128668200
2023-03-10,20877966800,17017687700,7238568600,3496217600,54277168200
2023-03-17,21236166800,16929487700,7474568600,3527217600,54394168200
2023-03-24,20437866800,16514587700,7480968600,3525217600,52252168200
2023-03-31,20239866800,16576687700,7849768600,3606217600,49867168200
2023-04-07,20591766800,16341787700,7611768600,3263217600,44975668200
2023-04-14,20453166800,16216687700,7368968600,3257217600,43022668200
2023-04-21,20515266800,15846787700,7252968600,3172217600,41807668200
2023-04-28,19891566800,16812487700,7603368600,4108217600,46613668200
2023-05-05,19239966800,16672987700,7494568600,4007217600,50002168200
2023-05-12,19965366800,16509187700,7410168600,3755217600,55676668200
2023-05-19,20416266800,16942087700,7544568600,3631217600,56653168200
2023-05-26,19785366800,16834987700,7755768600,3664217600,58363168200
2023-06-02,21327966800,17814187700,7946568600,3797217600,59015668200
2023-06-09,22022766800,18090487700,8066568600,3692217600,61760668200
2023-06-16,21197466800,18193087700,8116168600,3593217600,62534668200
2023-06-21,21638466800,18140887700,8112168600,3222217600,61346668200
2023-06-30,22686066800,18521587700,7948968600,3699217600,63952168200
2023-07-07,21696066800,18685387700,7517768600,3408217600,66602668200
2023-07-14,21615966800,19363087700,7590968600,3697217600,67268668200
2023-07-21,21497166800,20199187700,7760168600,4120217600,70693168200
2023-07-28,20763666800,21203587700,7884168600,4668217600,73933168200
2023-08-04,22285566800,24113287700,7862168600,4431217600,77497168200
2023-08-11,23808366800,26848387700,8575768600,4581217600,80638168200
2023-08-18,24587766800,28527787700,8982968600,4705217600,86056168200
2023-08-25,24671466800,29616787700,9093768600,4488217600,92009668200
2023-09-01,24372666800,31217887700,9823768600,5145217600,98161168200
2023-09-08,24176466800,31299787700,9316968600,4679217600,99448168200
2023-09-15,23518566800,30689587700,9006968600,4567217600,99043168200
2023-09-22,24042366800,31264687700,9888568600,4923217600,102377668200
2023-09-28,24888366800,31916287700,9953368600,4950217600,101639668200
2023-10-13,25315866800,32824387700,9600568600,4360217600,101171668200
2023-10-20,24672366800,31990087700,9547768600,4103217600,101225668200
